query_variant,mode,model,precision_at_k,hit_at_k,recall_at_k,mrr,ndcg_at_k,link_valid_rate,off_repo_rate
V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC,NO_WEB,gemma3:27b,0.0,0.0,0.0,0.0,0.0,0.0,0.5555555555555556
V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC,NO_WEB,gpt-4.1,0.0,0.0,0.0,0.0,0.0,0.8690476190476191,0.08333333333333333
V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC,NO_WEB,llama4:latest,0.0,0.0,0.0,0.0,0.0,0.25,0.6166666666666667
V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC,NO_WEB,o4-mini,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666
V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC,NO_WEB,gpt-5,0.0,0.0,0.0,0.0,0.0,0.0,0.25
V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC,NO_WEB,gpt-5.1,0.0,0.0,0.0,0.0,0.0,0.8666666666666667,0.03333333333333333
V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC,NO_WEB,gpt-oss:latest,0.0,0.0,0.0,0.0,0.0,0.2380952380952381,0.3888888888888889
V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC,WEB_SEARCH,gemma3:27b,0.0,0.0,0.0,0.0,0.0,0.0,0.6648148148148149
V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC,WEB_SEARCH,gpt-4.1,0.0,0.0,0.0,0.0,0.0,0.9666666666666667,0.03333333333333333
V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC,WEB_SEARCH,llama4:latest,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3666666666666667
V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC,WEB_SEARCH,o4-mini,0.0,0.0,0.0,0.0,0.0,0.7925925925925926,0.14074074074074075
V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC,WEB_SEARCH,gpt-5,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0
V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC,WEB_SEARCH,gpt-5-mini,0.0,0.0,0.0,0.0,0.0,0.25,0.75
V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC,WEB_SEARCH,gpt-5.1,0.0,0.0,0.0,0.0,0.0,0.5666666666666668,0.43333333333333335
