query_id,query_variant,mode,model,rank,returned_title,returned_url_or_doi,justification,raw_response_path,matched_dataset_id,match_confidence,link_valid,is_relevant
1,V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC,NO_WEB,gemma3:27b,1,German Electoral Study 1972,https://doi.org/10.48488/6442,"This study focuses on voter behaviour and attitudes in the 1972 federal election in West Germany, providing data on political preferences, party identification, and motivations for voting.",output/full_metadata_model_comparison/logs/query_1_NO_WEB_gemma3_27b.json,ZA5973,0.7441860465116279,False,0
1,V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC,NO_WEB,gemma3:27b,2,German Electoral Study 1976,https://doi.org/10.48488/8276,"A follow-up to the 1972 study, this dataset examines political behaviour and attitudes surrounding the 1976 election, including voting decisions and political engagement.",output/full_metadata_model_comparison/logs/query_1_NO_WEB_gemma3_27b.json,ZA1397,0.7450980392156863,False,0
1,V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC,NO_WEB,gemma3:27b,3,German Electoral Study 1977,https://doi.org/10.48488/9655,Addresses political attitudes and behaviors in the context of political events and the upcoming election. Focuses on voting intentions and party preferences.,output/full_metadata_model_comparison/logs/query_1_NO_WEB_gemma3_27b.json,ZA5973,0.7441860465116279,False,0
1,V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC,NO_WEB,gemma3:27b,4,Allensbacher Panelstudie – Political Attitudes (1970-1980),https://doi.org/10.48488/14385,"While spanning a broader timeframe, this panel study includes data from the 1970s, tracking changes in political attitudes and behaviours over time. Provides longitudinal data.",output/full_metadata_model_comparison/logs/query_1_NO_WEB_gemma3_27b.json,ZA6975,1.0,False,0
1,V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC,NO_WEB,gemma3:27b,5,Values Survey - West Germany 1979,https://doi.org/10.48488/5851,"Though at the very end of the decade, the 1979 Values Survey provides insights into basic values and beliefs that influence political behaviour in West Germany.",output/full_metadata_model_comparison/logs/query_1_NO_WEB_gemma3_27b.json,ZA3062,0.7777777777777777,False,0
1,V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC,NO_WEB,gemma3:27b,6,Datafile: Political attitudes and behaviour of students – West Germany 1972,https://doi.org/10.48488/15646,"This dataset specifically focuses on the political attitudes and behaviors of students in West Germany in 1972, offering a particular segment of the population's perspective.",output/full_metadata_model_comparison/logs/query_1_NO_WEB_gemma3_27b.json,ZA5991,0.9473684210526315,False,0
1,V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC,NO_WEB,gemma3:27b,7,"Political Action and Social Milieu: A Comparative Study of West Germany, Great Britain and the United States",https://doi.org/10.48488/3367,"While comparative, the West German portion of this study provides data on political action and social milieu in the 1970s.",output/full_metadata_model_comparison/logs/query_1_NO_WEB_gemma3_27b.json,ZA1188,0.9142857142857143,False,0
1,V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC,NO_WEB,gpt-4.1,1,"German Election Study, 1972",https://search.gesis.org/research_data/ZA0311,"This dataset covers German electoral behavior and attitudes regarding the 1972 federal election, reflecting political opinions and activity in the early 1970s.",output/full_metadata_model_comparison/logs/query_1_NO_WEB_gpt-4.1.json,ZA0311,1.0,True,0
1,V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC,NO_WEB,gpt-4.1,2,"German Election Study, 1976",https://search.gesis.org/research_data/ZA1100,"Documents political behaviour and attitudes in Germany during the 1976 federal election, which is central to the political climate of the mid-1970s.",output/full_metadata_model_comparison/logs/query_1_NO_WEB_gpt-4.1.json,ZA1100,1.0,True,0
1,V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC,NO_WEB,gpt-4.1,3,"Political Attitudes, Political Participation and Election Behavior in the Federal Republic (1975)",https://search.gesis.org/research_data/ZA0944,"Focuses on political attitudes and participation in Germany in 1975, directly addressing the requested topics from the 1970s.",output/full_metadata_model_comparison/logs/query_1_NO_WEB_gpt-4.1.json,ZA0944,1.0,True,0
