query_id,query_variant,source_dataset_id,source_title,query_text,query_topics,query_countries,query_time_collection_years,relevant_dataset_id,relevant_title,relevant_topic,relevant_country,relevant_time_collection_years
1,V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC,ZA0840,"Federal Parliament Election 1972 (Panel: 2nd Wave, October 1971 - January 1972)",Can you find GESIS datasets about Political behaviour and attitudes in Germany during the 1970s?,"[""Political behaviour and attitudes""]","[""Germany""]","[""1971"", ""1972""]",ZA0840,"Federal Parliament Election 1972 (Panel: 2nd Wave, October 1971 - January 1972)",,"[""Germany""]",
2,V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC,ZA0840,"Federal Parliament Election 1972 (Panel: 2nd Wave, October 1971 - January 1972)","Can you find GESIS datasets about Government, political systems and organisations in Germany during the 1970s?","[""Government, political systems and organisations""]","[""Germany""]","[""1971"", ""1972""]",ZA0840,"Federal Parliament Election 1972 (Panel: 2nd Wave, October 1971 - January 1972)",,"[""Germany""]",
3,V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC,ZA0840,"Federal Parliament Election 1972 (Panel: 2nd Wave, October 1971 - January 1972)",Can you find GESIS datasets about Elections in Germany during the 1970s?,"[""Elections""]","[""Germany""]","[""1971"", ""1972""]",ZA0840,"Federal Parliament Election 1972 (Panel: 2nd Wave, October 1971 - January 1972)",,"[""Germany""]",
4,V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC,ZA0529,Political Socialization in Pre-School Age,Can you find GESIS datasets about Compulsory and pre-school education in Hesse during the 1960s?,"[""Compulsory and pre-school education""]","[""Hesse""]","[""1969"", ""1969""]",ZA0529,Political Socialization in Pre-School Age,,,
5,V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC,ZA0529,Political Socialization in Pre-School Age,Can you find GESIS datasets about Children in Hesse during the 1960s?,"[""Children""]","[""Hesse""]","[""1969"", ""1969""]",ZA0529,Political Socialization in Pre-School Age,,,
6,V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC,ZA8194,Social Change and Violent Crime,"Can you find GESIS datasets about HISTORY in Germany, England, Sweden, and United States of America during the 1950s and 1960s and 1970s and 1980s and 1990s and 2000s?","[""HISTORY""]","[""Germany"", ""England"", ""Sweden"", ""United States of America""]","[""1950"", ""2004""]",ZA8194,Social Change and Violent Crime,,"[""Germany"", ""Sweden"", ""United States of America""]",
7,V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC,ZA0590,Political Situation in West Berlin (Young People from the GDR),Can you find GESIS datasets about Social conditions and indicators in Berlin during the 1950s?,"[""Social conditions and indicators""]","[""Berlin""]","[""1955"", ""1955""]",ZA0590,Political Situation in West Berlin (Young People from the GDR),,,
8,V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC,ZA0590,Political Situation in West Berlin (Young People from the GDR),Can you find GESIS datasets about Political behaviour and attitudes in Berlin during the 1950s?,"[""Political behaviour and attitudes""]","[""Berlin""]","[""1955"", ""1955""]",ZA0590,Political Situation in West Berlin (Young People from the GDR),,,
9,V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC,ZA0590,Political Situation in West Berlin (Young People from the GDR),Can you find GESIS datasets about Youth in Berlin during the 1950s?,"[""Youth""]","[""Berlin""]","[""1955"", ""1955""]",ZA0590,Political Situation in West Berlin (Young People from the GDR),,,
10,V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC,ZA0590,Political Situation in West Berlin (Young People from the GDR),Can you find GESIS datasets about Economic systems and development in Berlin during the 1950s?,"[""Economic systems and development""]","[""Berlin""]","[""1955"", ""1955""]",ZA0590,Political Situation in West Berlin (Young People from the GDR),,,
