query_id,query_variant,mode,hit_at_k,precision_at_k,recall_at_k,mrr,ndcg_at_k,link_valid_rate,off_repo_rate
1,V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,WEB_SEARCH,0,0.0,0.0,0.0,0.0,0.0,0.4
2,V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,WEB_SEARCH,0,0.0,0.0,0.0,0.0,0.0,1.0
3,V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,WEB_SEARCH,0,0.0,0.0,0.0,0.0,0.0,0.9
4,V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,WEB_SEARCH,0,0.0,0.0,0.0,0.0,0.0,0.7
5,V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,WEB_SEARCH,0,0.0,0.0,0.0,0.0,0.0,1.0
6,V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,WEB_SEARCH,0,0.0,0.0,0.0,0.0,0.0,0.9
7,V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,WEB_SEARCH,1,0.1,1.0,0.16666666666666666,0.3562071871080222,0.0,0.8
8,V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,WEB_SEARCH,0,0.0,0.0,0.0,0.0,0.0,0.5
10,V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,WEB_SEARCH,0,0.0,0.0,0.0,0.0,0.0,1.0
11,V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,WEB_SEARCH,0,0.0,0.0,0.0,0.0,0.0,1.0
12,V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,WEB_SEARCH,0,0.0,0.0,0.0,0.0,0.0,1.0
14,V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,WEB_SEARCH,0,0.0,0.0,0.0,0.0,0.1,0.4
15,V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,WEB_SEARCH,1,0.1,0.5,0.14285714285714285,0.20438239758848611,0.0,0.6
16,V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,WEB_SEARCH,0,0.0,0.0,0.0,0.0,0.0,1.0
17,V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,WEB_SEARCH,0,0.0,0.0,0.0,0.0,0.0,0.9
18,V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,WEB_SEARCH,0,0.0,0.0,0.0,0.0,0.0,0.7
19,V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,WEB_SEARCH,0,0.0,0.0,0.0,0.0,0.0,0.8
20,V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,WEB_SEARCH,0,0.0,0.0,0.0,0.0,0.0,1.0
21,V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,WEB_SEARCH,0,0.0,0.0,0.0,0.0,0.0,1.0
22,V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,WEB_SEARCH,0,0.0,0.0,0.0,0.0,0.0,1.0
23,V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,WEB_SEARCH,0,0.0,0.0,0.0,0.0,0.0,1.0
24,V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,WEB_SEARCH,0,0.0,0.0,0.0,0.0,0.0,0.9
25,V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,WEB_SEARCH,0,0.0,0.0,0.0,0.0,0.0,1.0
26,V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,WEB_SEARCH,0,0.0,0.0,0.0,0.0,0.0,1.0
27,V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,WEB_SEARCH,0,0.0,0.0,0.0,0.0,0.0,0.9
28,V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,WEB_SEARCH,0,0.0,0.0,0.0,0.0,0.0,1.0
