query_id,query_variant,source_dataset_id,source_title,query_text,query_topics,query_countries,query_time_collection_years,relevant_dataset_id,relevant_title,relevant_topic,relevant_country,relevant_time_collection_years
1,V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,ZA0840,"Federal Parliament Election 1972 (Panel: 2nd Wave, October 1971 - January 1972)","Can you find datasets related to [[""Political behaviour and attitudes"", ""Government, political systems and organisations"", ""Elections""]] in [[""Germany""]] during the [1970s]?","[""Political behaviour and attitudes"", ""Government, political systems and organisations"", ""Elections""]","[""Germany""]","[""1971"", ""1972""]",ZA0840,"Federal Parliament Election 1972 (Panel: 2nd Wave, October 1971 - January 1972)","[""Political behaviour and attitudes"", ""Government, political systems and organisations"", ""Elections""]","[""Germany""]","[""1971"", ""1972""]"
2,V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,ZA0529,Political Socialization in Pre-School Age,"Can you find datasets related to [[""Compulsory and pre-school education"", ""Children""]] in [[""Hesse""]] during the [1960s]?","[""Compulsory and pre-school education"", ""Children""]","[""Hesse""]","[""1969"", ""1969""]",ZA0529,Political Socialization in Pre-School Age,"[""Compulsory and pre-school education"", ""Children""]","[""Hesse""]","[""1969"", ""1969""]"
3,V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,ZA8194,Social Change and Violent Crime,"Can you find datasets related to [[""HISTORY""]] in [[""Germany"", ""England"", ""Sweden"", ""United States of America""]] during the [1950s and 1960s and 1970s and 1980s and 1990s and 2000s]?","[""HISTORY""]","[""Germany"", ""England"", ""Sweden"", ""United States of America""]","[""1950"", ""2004""]",ZA8194,Social Change and Violent Crime,"[""HISTORY""]","[""Germany"", ""England"", ""Sweden"", ""United States of America""]","[""1950"", ""2004""]"
3,V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,ZA8194,Social Change and Violent Crime,"Can you find datasets related to [[""HISTORY""]] in [[""Germany"", ""England"", ""Sweden"", ""United States of America""]] during the [1950s and 1960s and 1970s and 1980s and 1990s and 2000s]?","[""HISTORY""]","[""Germany"", ""England"", ""Sweden"", ""United States of America""]","[""1950"", ""2004""]",ZA8614,histat - data compilation online: Wages and Salaries (Indices) in Germany 1913/14 - 2006,"[""HISTORY"", ""Income, property and investment/saving""]","[""Germany""]","[""1913"", ""2006""]"
3,V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,ZA8194,Social Change and Violent Crime,"Can you find datasets related to [[""HISTORY""]] in [[""Germany"", ""England"", ""Sweden"", ""United States of America""]] during the [1950s and 1960s and 1970s and 1980s and 1990s and 2000s]?","[""HISTORY""]","[""Germany"", ""England"", ""Sweden"", ""United States of America""]","[""1950"", ""2004""]",ZA8202,Universities in the Federal Republic of Germany 1949-2001,"[""HISTORY""]","[""Germany""]","[""1949"", ""2001""]"
3,V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,ZA8194,Social Change and Violent Crime,"Can you find datasets related to [[""HISTORY""]] in [[""Germany"", ""England"", ""Sweden"", ""United States of America""]] during the [1950s and 1960s and 1970s and 1980s and 1990s and 2000s]?","[""HISTORY""]","[""Germany"", ""England"", ""Sweden"", ""United States of America""]","[""1950"", ""2004""]",ZA8256,The Growth of the German Economy since the Middle of the 19th Century. Chapter: Population and Employment,"[""HISTORY""]","[""Historical German lands (-1871)"", ""German Reich (1871-1945)"", ""Germany"", """"]","[""1850"", ""1959""]"
4,V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,ZA0590,Political Situation in West Berlin (Young People from the GDR),"Can you find datasets related to [[""Social conditions and indicators"", ""Political behaviour and attitudes"", ""Youth"", ""Economic systems and development""]] in [[""Berlin""]] during the [1950s]?","[""Social conditions and indicators"", ""Political behaviour and attitudes"", ""Youth"", ""Economic systems and development""]","[""Berlin""]","[""1955"", ""1955""]",ZA0590,Political Situation in West Berlin (Young People from the GDR),"[""Social conditions and indicators"", ""Political behaviour and attitudes"", ""Youth"", ""Economic systems and development""]","[""Berlin""]","[""1955"", ""1955""]"
5,V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,ZA6621,General Public´s Trust in Politics,"Can you find datasets related to [[""Media"", ""POLITICS"", ""Political behaviour and attitudes"", ""Government, political systems and organisations""]] in [[""Germany""]] during the [2010s]?","[""Media"", ""POLITICS"", ""Political behaviour and attitudes"", ""Government, political systems and organisations""]","[""Germany""]","[""2016"", ""2016""]",ZA6621,General Public´s Trust in Politics,"[""Media"", ""POLITICS"", ""Political behaviour and attitudes"", ""Government, political systems and organisations""]","[""Germany""]","[""2016"", ""2016""]"
6,V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,ZA7315,Sofortresonanzen DDR Fernsehen 5. Woche 1988 (SFR 5/88),"Can you find datasets related to [[""Media""]] in [[""German Democratic Republic (1949-1990)""]] during the [1980s]?","[""Media""]","[""German Democratic Republic (1949-1990)""]","[""1988"", ""1988""]",ZA7315,Sofortresonanzen DDR Fernsehen 5. Woche 1988 (SFR 5/88),"[""Media""]","[""German Democratic Republic (1949-1990)""]","[""1988"", ""1988""]"
7,V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,ZA6865,Second European Survey of Enterprises on New and Emerging Risks 2014 (ESENER-2),"Can you find datasets related to [[""Working conditions"", ""Occupational health""]] in [[""Belgium"", ""Denmark"", ""Germany"", ""Greece"", ""Spain"", ""Finland"", ""France"", ""Ireland"", ""Italy"", ""Luxembourg"", ""Netherlands"", ""Austria"", ""Portugal"", ""Sweden"", ""United Kingdom"", ""Bulgaria"", ""Cyprus"", ""Czech Republic"", ""Estonia"", ""Hungary"", ""Latvia"", ""Lithuania"", ""Malta"", ""Poland"", ""Romania"", ""Slovakia"", ""Slovenia"", ""Turkey"", ""Croatia"", ""Switzerland"", ""Norway"", ""Albania"", ""Iceland"", ""Montenegro"", ""North Macedonia"", ""Serbia""]] during the [2010s]?","[""Working conditions"", ""Occupational health""]","[""Belgium"", ""Denmark"", ""Germany"", ""Greece"", ""Spain"", ""Finland"", ""France"", ""Ireland"", ""Italy"", ""Luxembourg"", ""Netherlands"", ""Austria"", ""Portugal"", ""Sweden"", ""United Kingdom"", ""Bulgaria"", ""Cyprus"", ""Czech Republic"", ""Estonia"", ""Hungary"", ""Latvia"", ""Lithuania"", ""Malta"", ""Poland"", ""Romania"", ""Slovakia"", ""Slovenia"", ""Turkey"", ""Croatia"", ""Switzerland"", ""Norway"", ""Albania"", ""Iceland"", ""Montenegro"", ""North Macedonia"", ""Serbia""]","[""2014"", ""2014""]",ZA6865,Second European Survey of Enterprises on New and Emerging Risks 2014 (ESENER-2),"[""Working conditions"", ""Occupational health""]","[""Belgium"", ""Denmark"", ""Germany"", ""Greece"", ""Spain"", ""Finland"", ""France"", ""Ireland"", ""Italy"", ""Luxembourg"", ""Netherlands"", ""Austria"", ""Portugal"", ""Sweden"", ""United Kingdom"", ""Bulgaria"", ""Cyprus"", ""Czech Republic"", ""Estonia"", ""Hungary"", ""Latvia"", ""Lithuania"", ""Malta"", ""Poland"", ""Romania"", ""Slovakia"", ""Slovenia"", ""Turkey"", ""Croatia"", ""Switzerland"", ""Norway"", ""Albania"", ""Iceland"", ""Montenegro"", ""North Macedonia"", ""Serbia""]","[""2014"", ""2014""]"
