query_id,query_text,query_variant,query_topics,query_countries,query_time_collection_years,query_time_display,source_dataset_id,source_title,source_doi,source_portal_url,source_row
1,"Can you find datasets related to [[""Political behaviour and attitudes"", ""Government, political systems and organisations"", ""Elections""]] in [[""Germany""]] during the [1970s]?",V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,"[""Political behaviour and attitudes"", ""Government, political systems and organisations"", ""Elections""]","[""Germany""]","[""1971"", ""1972""]",1970s,ZA0840,"Federal Parliament Election 1972 (Panel: 2nd Wave, October 1971 - January 1972)","[""10.4232/1.0840""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=0840&db=D,2
2,"Can you find datasets related to [[""Compulsory and pre-school education"", ""Children""]] in [[""Hesse""]] during the [1960s]?",V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,"[""Compulsory and pre-school education"", ""Children""]","[""Hesse""]","[""1969"", ""1969""]",1960s,ZA0529,Political Socialization in Pre-School Age,"[""10.4232/1.0529""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=0529&db=D,3
3,"Can you find datasets related to [[""HISTORY""]] in [[""Germany"", ""England"", ""Sweden"", ""United States of America""]] during the [1950s and 1960s and 1970s and 1980s and 1990s and 2000s]?",V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,"[""HISTORY""]","[""Germany"", ""England"", ""Sweden"", ""United States of America""]","[""1950"", ""2004""]",1950s and 1960s and 1970s and 1980s and 1990s and 2000s,ZA8194,Social Change and Violent Crime,"[""10.4232/1.8194""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=8194&db=D,4
4,"Can you find datasets related to [[""Social conditions and indicators"", ""Political behaviour and attitudes"", ""Youth"", ""Economic systems and development""]] in [[""Berlin""]] during the [1950s]?",V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,"[""Social conditions and indicators"", ""Political behaviour and attitudes"", ""Youth"", ""Economic systems and development""]","[""Berlin""]","[""1955"", ""1955""]",1950s,ZA0590,Political Situation in West Berlin (Young People from the GDR),"[""10.4232/1.0590""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=0590&db=D,6
5,"Can you find datasets related to [[""Media"", ""POLITICS"", ""Political behaviour and attitudes"", ""Government, political systems and organisations""]] in [[""Germany""]] during the [2010s]?",V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,"[""Media"", ""POLITICS"", ""Political behaviour and attitudes"", ""Government, political systems and organisations""]","[""Germany""]","[""2016"", ""2016""]",2010s,ZA6621,General Public´s Trust in Politics,"[""10.4232/1.12710""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=6621&db=D,7
6,"Can you find datasets related to [[""Media""]] in [[""German Democratic Republic (1949-1990)""]] during the [1980s]?",V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,"[""Media""]","[""German Democratic Republic (1949-1990)""]","[""1988"", ""1988""]",1980s,ZA7315,Sofortresonanzen DDR Fernsehen 5. Woche 1988 (SFR 5/88),"[""10.4232/1.10556""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=7315&db=D,8
7,"Can you find datasets related to [[""Working conditions"", ""Occupational health""]] in [[""Belgium"", ""Denmark"", ""Germany"", ""Greece"", ""Spain"", ""Finland"", ""France"", ""Ireland"", ""Italy"", ""Luxembourg"", ""Netherlands"", ""Austria"", ""Portugal"", ""Sweden"", ""United Kingdom"", ""Bulgaria"", ""Cyprus"", ""Czech Republic"", ""Estonia"", ""Hungary"", ""Latvia"", ""Lithuania"", ""Malta"", ""Poland"", ""Romania"", ""Slovakia"", ""Slovenia"", ""Turkey"", ""Croatia"", ""Switzerland"", ""Norway"", ""Albania"", ""Iceland"", ""Montenegro"", ""North Macedonia"", ""Serbia""]] during the [2010s]?",V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,"[""Working conditions"", ""Occupational health""]","[""Belgium"", ""Denmark"", ""Germany"", ""Greece"", ""Spain"", ""Finland"", ""France"", ""Ireland"", ""Italy"", ""Luxembourg"", ""Netherlands"", ""Austria"", ""Portugal"", ""Sweden"", ""United Kingdom"", ""Bulgaria"", ""Cyprus"", ""Czech Republic"", ""Estonia"", ""Hungary"", ""Latvia"", ""Lithuania"", ""Malta"", ""Poland"", ""Romania"", ""Slovakia"", ""Slovenia"", ""Turkey"", ""Croatia"", ""Switzerland"", ""Norway"", ""Albania"", ""Iceland"", ""Montenegro"", ""North Macedonia"", ""Serbia""]","[""2014"", ""2014""]",2010s,ZA6865,Second European Survey of Enterprises on New and Emerging Risks 2014 (ESENER-2),"[""10.4232/1.12965""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=6865&db=D,9
8,"Can you find datasets related to [[""Reproductive health""]] in [[""Germany""]] during the [1970s]?",V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,"[""Reproductive health""]","[""Germany""]","[""1972"", ""1972""]",1970s,ZA0682,Family Planning as Health Task,"[""10.4232/1.12464"", ""10.4232/1.0682""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=0682&db=D,10
9,"Can you find datasets related to [[""Employment"", ""Leisure, tourism and sport"", ""Reproductive health"", ""Specific diseases, disorders and medical conditions"", ""Family life and marriage"", ""Gender and gender roles""]] in [[""German Democratic Republic (1949-1990)""]] during the [1980s]?",V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,"[""Employment"", ""Leisure, tourism and sport"", ""Reproductive health"", ""Specific diseases, disorders and medical conditions"", ""Family life and marriage"", ""Gender and gender roles""]","[""German Democratic Republic (1949-1990)""]","[""1988"", ""1989""]",1980s,ZA6370,Partnership Conflicts and Psychosomatic Gynecological Illnesses 1988/89 (Additional Survey: Sterile Women),"[""10.4232/1.6370""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=6370&db=D,11
10,"Can you find datasets related to [[""Reproductive health"", ""Specific diseases, disorders and medical conditions"", ""Family life and marriage""]] in [[""Germany""]] during the [1980s]?",V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,"[""Reproductive health"", ""Specific diseases, disorders and medical conditions"", ""Family life and marriage""]","[""Germany""]","[""1989"", ""1989""]",1980s,ZA2235,Sexual Conduct of Men and Women in the Federal Republic of Germany 1989,"[""10.4232/1.2235""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=2235&db=D,12
