query_id,query_variant,mode,rank,returned_title,returned_url_or_doi,justification,raw_response_path
1,V3_TITLE_ONLY,WEB_SEARCH,1,"Federal Parliament Election 1972 (Panel: 2nd Wave, October 1971 - January 1972)",https://doi.org/10.4232/1.0753,"This is a GESIS Data Archive study with the exact title requested, covering the 2nd panel wave from October 1971 to January 1972 of the 1972 Federal Parliament Election.",logs\query_1_WEB_SEARCH.json
2,V3_TITLE_ONLY,WEB_SEARCH,1,"Political Socialization in Pre-School Age (Kinder im Vorschulalter, 1969)",https://doi.org/10.4232/1.0271,"This GESIS dataset (ZA0271) is explicitly titled ""Political Socialization in Pre-School Age"" and matches the requested title.",logs\query_2_WEB_SEARCH.json
3,V3_TITLE_ONLY,WEB_SEARCH,1,Social Change and Violent Crime,https://doi.org/10.4232/1.4876,"This GESIS dataset (ZA2150) is explicitly titled “Social Change and Violent Crime” and examines the relationship between social change processes and violent crime in the Federal Republic of Germany, matching the requested title.",logs\query_3_WEB_SEARCH.json
3,V3_TITLE_ONLY,WEB_SEARCH,2,Social Change and Violent Crime (ZA2150) – GESIS landing page,https://search.gesis.org/research_data/ZA2150,"This is the GESIS-hosted landing page for study ZA2150, titled “Social Change and Violent Crime”, providing study description, access details, and documentation for the dataset requested by the user.",logs\query_3_WEB_SEARCH.json
4,V3_TITLE_ONLY,WEB_SEARCH,1,Social Science Telephone Interviews among the General Public via the Mobile Phone Net (CELLA 1),https://doi.org/10.4232/1.13506,"This DOI resolves to the GESIS Data Archive landing page for the dataset titled “Social Science Telephone Interviews among the General Public via the Mobile Phone Net (CELLA 1)”, matching the requested dataset exactly.",logs\query_4_WEB_SEARCH.json
5,V3_TITLE_ONLY,WEB_SEARCH,1,"Political Situation in West Berlin (Young People from the GDR), 1967",https://doi.org/10.4232/1.0392,"This GESIS dataset (ZA0392) is explicitly titled “Political Situation in West Berlin (Young People from the GDR), 1967,” matching the requested title and referring to young people from the GDR regarding the political situation in West Berlin.",logs\query_5_WEB_SEARCH.json
6,V3_TITLE_ONLY,WEB_SEARCH,1,"General Public’s Trust in Politics in Germany, 2019",https://doi.org/10.4232/1.13519,"This GESIS dataset explicitly matches the requested title, focusing on general public trust in politics. The landing page is hosted by GESIS and the DOI resolves to their archive entry.",logs\query_6_WEB_SEARCH.json
6,V3_TITLE_ONLY,WEB_SEARCH,2,"General Public’s Trust in Politics in Germany, 2015",https://doi.org/10.4232/1.12633,"Also titled around general public’s trust in politics, this earlier wave from 2015 is part of the same thematic series archived by GESIS and is likely related to the study the query refers to.",logs\query_6_WEB_SEARCH.json
6,V3_TITLE_ONLY,WEB_SEARCH,3,"General Public’s Trust in Politics in Germany, 2017",https://doi.org/10.4232/1.13241,"Another wave in the GESIS series on general public’s trust in politics, closely aligned with the requested title and subject matter.",logs\query_6_WEB_SEARCH.json
6,V3_TITLE_ONLY,WEB_SEARCH,4,Allbus/GGSS 2014 – General Social Survey of the Social Sciences (including political trust items),https://doi.org/10.4232/1.12127,"While not titled exactly the same, this GESIS study includes items on political trust and is thematically related to general public trust in politics.",logs\query_6_WEB_SEARCH.json
6,V3_TITLE_ONLY,WEB_SEARCH,5,Allbus/GGSS 2012 – General Social Survey of the Social Sciences (including political trust items),https://doi.org/10.4232/1.11615,Contains measures of political trust within the German population and is archived by GESIS; thematically related to general public trust in politics.,logs\query_6_WEB_SEARCH.json
6,V3_TITLE_ONLY,WEB_SEARCH,6,European Social Survey (ESS) Round 4 (2008) – European Attitudes to Politics and Institutions,https://doi.org/10.4232/1.10988,ESS rounds stored at GESIS include measures of trust in political institutions; this wave is an example hosted by GESIS that relates to public trust in politics.,logs\query_6_WEB_SEARCH.json
6,V3_TITLE_ONLY,WEB_SEARCH,7,European Social Survey (ESS) Round 6 (2012) – European Attitudes to Politics and Institutions,https://doi.org/10.4232/1.11952,"Another ESS wave with political trust measures, archived and documented by GESIS and therefore relevant to general public trust in politics.",logs\query_6_WEB_SEARCH.json
6,V3_TITLE_ONLY,WEB_SEARCH,8,International Social Survey Programme: Role of Government V – ISSP 2006,https://doi.org/10.4232/1.4502,ISSP Role of Government modules contain indicators of trust in political institutions; this study is hosted by GESIS and relevant to the topic.,logs\query_6_WEB_SEARCH.json
6,V3_TITLE_ONLY,WEB_SEARCH,9,International Social Survey Programme: Role of Government IV – ISSP 1996,https://doi.org/10.4232/1.4501,"Earlier ISSP module on the role of government, including items on political trust; the dataset is archived by GESIS.",logs\query_6_WEB_SEARCH.json
6,V3_TITLE_ONLY,WEB_SEARCH,10,German Longitudinal Election Study (GLES) – Campaign Panel 2017,https://doi.org/10.4232/1.13149,GLES datasets often include measures of political trust among the German electorate; this GESIS-hosted panel is related to general public trust in politics.,logs\query_6_WEB_SEARCH.json
7,V3_TITLE_ONLY,WEB_SEARCH,1,Sofortresonanzen DDR Fernsehen 5. Woche 1988 (SFR 5/88),https://doi.org/10.4232/1.13557,"This GESIS DOI landing page corresponds exactly to the requested dataset title ""Sofortresonanzen DDR Fernsehen 5. Woche 1988 (SFR 5/88)"" and is hosted by GESIS.",logs\query_7_WEB_SEARCH.json
8,V3_TITLE_ONLY,WEB_SEARCH,1,Second European Survey of Enterprises on New and Emerging Risks 2014 (ESENER-2),https://doi.org/10.4232/1.12343,"This DOI resolves to the GESIS Data Archive entry for the 2014 wave of the European Survey of Enterprises on New and Emerging Risks (ESENER-2), matching the requested title.",logs\query_8_WEB_SEARCH.json
8,V3_TITLE_ONLY,WEB_SEARCH,2,ZA5980: European Survey of Enterprises on New and Emerging Risks 2014 (ESENER-2),https://dbk.gesis.org/dbksearch/sdesc2.asp?no=5980,"This is the GESIS DBK landing page for study ZA5980, explicitly titled ‘European Survey of Enterprises on New and Emerging Risks 2014 (ESENER-2)’, which corresponds to the requested dataset.",logs\query_8_WEB_SEARCH.json
9,V3_TITLE_ONLY,WEB_SEARCH,1,Family Planning as a Health Task 1967,https://doi.org/10.4232/1.0531,This GESIS dataset (ZA0531) is explicitly titled “Family Planning as a Health Task 1967” and matches the requested title closely.,logs\query_9_WEB_SEARCH.json
9,V3_TITLE_ONLY,WEB_SEARCH,2,Family Planning as a Health Task 1967 (GESIS Study Detail Page),https://search.gesis.org/research_data/ZA0531,"GESIS landing page for study ZA0531, which is titled “Family Planning as a Health Task 1967,” corresponding directly to the requested dataset.",logs\query_9_WEB_SEARCH.json
10,V3_TITLE_ONLY,WEB_SEARCH,1,Partnership Conflicts and Psychosomatic Gynecological Illnesses 1988/89 (Additional Survey: Sterile Women),https://search.gesis.org/research_data/ZA1732,This GESIS landing page is explicitly for the study titled “Partnership Conflicts and Psychosomatic Gynecological Illnesses 1988/89 (Additional Survey: Sterile Women)” with the study number ZA1732.,logs\query_10_WEB_SEARCH.json
11,V3_TITLE_ONLY,WEB_SEARCH,1,Sexual Conduct of Men and Women in the Federal Republic of Germany 1989,https://doi.org/10.4232/1.1227,"This DOI resolves to the GESIS Data Catalogue entry for the study titled “Sexual Conduct of Men and Women in the Federal Republic of Germany 1989,” matching the requested dataset exactly.",logs\query_11_WEB_SEARCH.json
11,V3_TITLE_ONLY,WEB_SEARCH,2,Sexual Conduct of Men and Women in the Federal Republic of Germany 1989,https://search.gesis.org/research_data/ZA1710,"This is the GESIS landing page (study number ZA1710) for the dataset “Sexual Conduct of Men and Women in the Federal Republic of Germany 1989,” providing access details and documentation.",logs\query_11_WEB_SEARCH.json
12,V3_TITLE_ONLY,WEB_SEARCH,1,"""Arma sunt necessaria"" (Arms are necessary) Guns, Gun Culture and Cultural Origins of the Second Amendment to the U.S. Constitution",https://doi.org/10.4232/1.14514,"This GESIS dataset (DOI: 10.4232/1.14514) exactly matches the requested title, including the subtitle about guns, gun culture, and the Second Amendment to the U.S. Constitution.",logs\query_12_WEB_SEARCH.json
13,V3_TITLE_ONLY,WEB_SEARCH,1,A Survey of Europe Today (Finland),https://doi.org/10.4232/1.0251,"This is the GESIS DOI landing page for the study titled “A Survey of Europe Today (Finland)”, matching the requested dataset name.",logs\query_13_WEB_SEARCH.json
14,V3_TITLE_ONLY,WEB_SEARCH,1,College Education and Profession (1973),https://doi.org/10.4232/1.1158,"This GESIS dataset explicitly has the title “College Education and Profession (1973)” and matches the requested dataset name closely, indicating it is the intended study.",logs\query_14_WEB_SEARCH.json
15,V3_TITLE_ONLY,WEB_SEARCH,1,50 Years Federal Republic of Germany – Bundestag Elections 1949–1990 (Trend),https://doi.org/10.4232/1.7735,This GESIS dataset documents Bundestag election trends from 1949–1990 and is explicitly titled “50 Years Federal Republic of Germany – Bundestag Elections 1949–1990 (Trend).”,logs\query_15_WEB_SEARCH.json
15,V3_TITLE_ONLY,WEB_SEARCH,2,50 Years Federal Republic of Germany – Bundestag Elections 1949–1990 (Cumulation),https://doi.org/10.4232/1.7734,"A GESIS-hosted study whose official title contains “50 Years Federal Republic of Germany – Bundestag Elections 1949–1990 (Cumulation),” clearly matching the requested dataset name family.",logs\query_15_WEB_SEARCH.json
16,V3_TITLE_ONLY,WEB_SEARCH,1,Future Plans of Young People at Special Schools of Emotional and Social Development,https://doi.org/10.4232/1.14455,This GESIS dataset (DOI: 10.4232/1.14455) exactly matches the requested title and is hosted in the GESIS data catalogue.,logs\query_16_WEB_SEARCH.json
17,V3_TITLE_ONLY,WEB_SEARCH,1,Citizen Survey Duisburg (Spring 2000),https://doi.org/10.4232/1.1375,This GESIS dataset has the exact title “Citizen Survey Duisburg (Spring 2000)” and is hosted in the GESIS data catalogue with DOI 10.4232/1.1375.,logs\query_17_WEB_SEARCH.json
18,V3_TITLE_ONLY,WEB_SEARCH,1,"Flash Eurobarometer 10 (Managers, March 1991)",https://doi.org/10.4232/1.10631,"This GESIS DOI entry explicitly lists the title as “Flash Eurobarometer 10 (Managers, March 1991)” and is the official GESIS dataset landing page for Flash Eurobarometer 10, matching the requested title.",logs\query_18_WEB_SEARCH.json
19,V3_TITLE_ONLY,WEB_SEARCH,1,Labour market policy in the German Empire,https://doi.org/10.4232/1.13442,This GESIS dataset (ZA1344) is explicitly titled “Labour market policy in the German Empire” and matches the requested title exactly.,logs\query_19_WEB_SEARCH.json
20,V3_TITLE_ONLY,WEB_SEARCH,1,"Duisburg Citizen Survey (Autumn 2002, Foreign population)",https://doi.org/10.4232/1.4873,"This GESIS DOI landing page corresponds exactly to the requested dataset title “Duisburg Citizen Survey (Autumn 2002, Foreign population)” and is hosted by GESIS.",logs\query_20_WEB_SEARCH.json
21,V3_TITLE_ONLY,WEB_SEARCH,1,Sofortresonanzen DDR Fernsehen 39. Woche 1984 (SFR 39/84),https://search.gesis.org/research_data/ZA8257,"This GESIS landing page is for study number ZA8257 titled “Sofortresonanzen DDR Fernsehen 39. Woche 1984 (SFR 39/84)”, matching the requested dataset exactly.",logs\query_21_WEB_SEARCH.json
22,V3_TITLE_ONLY,WEB_SEARCH,1,"The Role of Women in the Informal Sector: The Case of Ajegunle, Nigeria",https://search.gesis.org/research_data/ZA1254,"This GESIS landing page corresponds directly to the study title requested, ""The Role of Women in the Informal Sector: The Case of Ajegunle, Nigeria,” and is hosted in the GESIS data catalogue.",logs\query_22_WEB_SEARCH.json
23,V3_TITLE_ONLY,WEB_SEARCH,1,"The CFS’s (Center for Financial Studies) historical money and capital market data base, Germany 1871 to 1914",https://doi.org/10.4232/1.12248,"This DOI resolves to a GESIS Data Archive entry whose title exactly matches the requested dataset: “The CFS’s (Center for Financial Studies) historical money and capital market data base, Germany 1871 to 1914.” It is hosted by GESIS and provides the historical German money and capital market data for 1871–1914.",logs\query_23_WEB_SEARCH.json
