query_id,query_variant,source_dataset_id,source_title,query_text,query_topics,query_countries,query_time_collection_years,relevant_dataset_id,relevant_title,relevant_topic,relevant_country,relevant_time_collection_years
1,V3_TITLE_ONLY,ZA0840,"Federal Parliament Election 1972 (Panel: 2nd Wave, October 1971 - January 1972)","Can you find the dataset titled [Federal Parliament Election 1972 (Panel: 2nd Wave, October 1971 - January 1972)]?",nan,nan,nan,ZA0840,"Federal Parliament Election 1972 (Panel: 2nd Wave, October 1971 - January 1972)","[""Political behaviour and attitudes"", ""Government, political systems and organisations"", ""Elections""]","[""Germany""]","[""1971"", ""1972""]"
2,V3_TITLE_ONLY,ZA0529,Political Socialization in Pre-School Age,Can you find the dataset titled [Political Socialization in Pre-School Age]?,nan,nan,nan,ZA0529,Political Socialization in Pre-School Age,"[""Compulsory and pre-school education"", ""Children""]","[""Hesse""]","[""1969"", ""1969""]"
3,V3_TITLE_ONLY,ZA8194,Social Change and Violent Crime,Can you find the dataset titled [Social Change and Violent Crime]?,nan,nan,nan,ZA8194,Social Change and Violent Crime,"[""HISTORY""]","[""Germany"", ""England"", ""Sweden"", ""United States of America""]","[""1950"", ""2004""]"
4,V3_TITLE_ONLY,ZA4875,Social Science Telephone Interviews among the General Public via the Mobile Phone Net (CELLA 1),Can you find the dataset titled [Social Science Telephone Interviews among the General Public via the Mobile Phone Net (CELLA 1)]?,nan,nan,nan,ZA4875,Social Science Telephone Interviews among the General Public via the Mobile Phone Net (CELLA 1),"[""MEDIA, COMMUNICATION AND LANGUAGE"", ""Information technology""]",,"[""2007"", ""2008""]"
5,V3_TITLE_ONLY,ZA0590,Political Situation in West Berlin (Young People from the GDR),Can you find the dataset titled [Political Situation in West Berlin (Young People from the GDR)]?,nan,nan,nan,ZA0590,Political Situation in West Berlin (Young People from the GDR),"[""Social conditions and indicators"", ""Political behaviour and attitudes"", ""Youth"", ""Economic systems and development""]","[""Berlin""]","[""1955"", ""1955""]"
6,V3_TITLE_ONLY,ZA6621,General Public´s Trust in Politics,Can you find the dataset titled [General Public´s Trust in Politics]?,nan,nan,nan,ZA6621,General Public´s Trust in Politics,"[""Media"", ""POLITICS"", ""Political behaviour and attitudes"", ""Government, political systems and organisations""]","[""Germany""]","[""2016"", ""2016""]"
7,V3_TITLE_ONLY,ZA7315,Sofortresonanzen DDR Fernsehen 5. Woche 1988 (SFR 5/88),Can you find the dataset titled [Sofortresonanzen DDR Fernsehen 5. Woche 1988 (SFR 5/88)]?,nan,nan,nan,ZA7315,Sofortresonanzen DDR Fernsehen 5. Woche 1988 (SFR 5/88),"[""Media""]","[""German Democratic Republic (1949-1990)""]","[""1988"", ""1988""]"
8,V3_TITLE_ONLY,ZA6865,Second European Survey of Enterprises on New and Emerging Risks 2014 (ESENER-2),Can you find the dataset titled [Second European Survey of Enterprises on New and Emerging Risks 2014 (ESENER-2)]?,nan,nan,nan,ZA6865,Second European Survey of Enterprises on New and Emerging Risks 2014 (ESENER-2),"[""Working conditions"", ""Occupational health""]","[""Belgium"", ""Denmark"", ""Germany"", ""Greece"", ""Spain"", ""Finland"", ""France"", ""Ireland"", ""Italy"", ""Luxembourg"", ""Netherlands"", ""Austria"", ""Portugal"", ""Sweden"", ""United Kingdom"", ""Bulgaria"", ""Cyprus"", ""Czech Republic"", ""Estonia"", ""Hungary"", ""Latvia"", ""Lithuania"", ""Malta"", ""Poland"", ""Romania"", ""Slovakia"", ""Slovenia"", ""Turkey"", ""Croatia"", ""Switzerland"", ""Norway"", ""Albania"", ""Iceland"", ""Montenegro"", ""North Macedonia"", ""Serbia""]","[""2014"", ""2014""]"
9,V3_TITLE_ONLY,ZA0682,Family Planning as Health Task,Can you find the dataset titled [Family Planning as Health Task]?,nan,nan,nan,ZA0682,Family Planning as Health Task,"[""Reproductive health""]","[""Germany""]","[""1972"", ""1972""]"
10,V3_TITLE_ONLY,ZA6370,Partnership Conflicts and Psychosomatic Gynecological Illnesses 1988/89 (Additional Survey: Sterile Women),Can you find the dataset titled [Partnership Conflicts and Psychosomatic Gynecological Illnesses 1988/89 (Additional Survey: Sterile Women)]?,nan,nan,nan,ZA6370,Partnership Conflicts and Psychosomatic Gynecological Illnesses 1988/89 (Additional Survey: Sterile Women),"[""Employment"", ""Leisure, tourism and sport"", ""Reproductive health"", ""Specific diseases, disorders and medical conditions"", ""Family life and marriage"", ""Gender and gender roles""]","[""German Democratic Republic (1949-1990)""]","[""1988"", ""1989""]"
11,V3_TITLE_ONLY,ZA2235,Sexual Conduct of Men and Women in the Federal Republic of Germany 1989,Can you find the dataset titled [Sexual Conduct of Men and Women in the Federal Republic of Germany 1989]?,nan,nan,nan,ZA2235,Sexual Conduct of Men and Women in the Federal Republic of Germany 1989,"[""Reproductive health"", ""Specific diseases, disorders and medical conditions"", ""Family life and marriage""]","[""Germany""]","[""1989"", ""1989""]"
12,V3_TITLE_ONLY,ZA8413,"""Arma sunt necessaria"" (Arms are necessary) Guns, Gun Culture and Cultural Origins of the Second Amendment to the U.S. Constitution","Can you find the dataset titled [""Arma sunt necessaria"" (Arms are necessary) Guns, Gun Culture and Cultural Origins of the Second Amendment to the U.S. Constitution]?",nan,nan,nan,ZA8413,"""Arma sunt necessaria"" (Arms are necessary) Guns, Gun Culture and Cultural Origins of the Second Amendment to the U.S. Constitution","[""HISTORY""]","[""South Carolina"", ""Massachusetts""]","[""1732"", ""1791""]"
13,V3_TITLE_ONLY,ZA1296,A Survey of Europe Today (Finland),Can you find the dataset titled [A Survey of Europe Today (Finland)]?,nan,nan,nan,ZA1296,A Survey of Europe Today (Finland),"[""Leisure, tourism and sport"", ""Social behaviour and attitudes"", ""Media"", ""TRANSPORT AND TRAVEL"", ""Consumption and consumer behaviour"", ""Economic systems and development"", ""Economic conditions and indicators""]","[""Finland""]","[""1969"", ""1969""]"
14,V3_TITLE_ONLY,ZA1458,College Education and Profession,Can you find the dataset titled [College Education and Profession]?,nan,nan,nan,ZA1458,College Education and Profession,"[""Employment"", ""Higher and further education""]","[""Bavaria""]","[""1975"", ""1975""]"
15,V3_TITLE_ONLY,ZA3222,50 Years Federal Republic of Germany,Can you find the dataset titled [50 Years Federal Republic of Germany]?,nan,nan,nan,ZA3222,50 Years Federal Republic of Germany,"[""Social conditions and indicators"", ""Political behaviour and attitudes"", ""Government, political systems and organisations"", ""Elections""]","[""Germany""]","[""1999"", ""1999""]"
16,V3_TITLE_ONLY,ZA6262,Future Plans of Young People at Special Schools of Emotional and Social Development,Can you find the dataset titled [Future Plans of Young People at Special Schools of Emotional and Social Development]?,nan,nan,nan,ZA6262,Future Plans of Young People at Special Schools of Emotional and Social Development,"[""Youth"", ""EDUCATION"", ""Higher and further education"", ""Migration"", ""Social behaviour and attitudes"", ""Leisure, tourism and sport"", ""Children"", ""Family life and marriage""]","[""Germany""]","[""2017"", ""2019""]"
17,V3_TITLE_ONLY,ZA3468,Citizen Survey Duisburg (Spring 2000),Can you find the dataset titled [Citizen Survey Duisburg (Spring 2000)]?,nan,nan,nan,ZA3468,Citizen Survey Duisburg (Spring 2000),"[""Community, urban and rural life"", ""Cultural activities and participation"", ""Political behaviour and attitudes"", ""Government, political systems and organisations"", ""Housing""]","[""North Rhine-Westphalia""]","[""2000"", ""2000""]"
18,V3_TITLE_ONLY,ZA2146,Flash Eurobarometer 10 (Managers),Can you find the dataset titled [Flash Eurobarometer 10 (Managers)]?,nan,nan,nan,ZA2146,Flash Eurobarometer 10 (Managers),"[""Business/industrial management and organisation"", ""Economic systems and development""]","[""Belgium"", ""Germany"", ""Denmark"", ""France"", ""Greece"", ""Ireland"", ""Italy"", ""Luxembourg"", ""Netherlands"", ""Portugal"", ""Spain"", ""Great Britain""]","[""1992"", ""1992""]"
19,V3_TITLE_ONLY,ZA8423,Labour market policy in the German Empire.,Can you find the dataset titled [Labour market policy in the German Empire.]?,nan,nan,nan,ZA8423,Labour market policy in the German Empire.,"[""HISTORY""]","[""German Reich (1871-1945)""]","[""1904"", ""1928""]"
20,V3_TITLE_ONLY,ZA4347,"Duisburg Citizen Survey (Autumn 2002, Foreign population)","Can you find the dataset titled [Duisburg Citizen Survey (Autumn 2002, Foreign population)]?",nan,nan,nan,ZA4347,"Duisburg Citizen Survey (Autumn 2002, Foreign population)","[""Migration"", ""Community, urban and rural life"", ""Government, political systems and organisations""]","[""North Rhine-Westphalia""]","[""2002"", ""2002""]"
21,V3_TITLE_ONLY,ZA7140,Sofortresonanzen DDR Fernsehen 39. Woche 1984 (SFR 39/84),Can you find the dataset titled [Sofortresonanzen DDR Fernsehen 39. Woche 1984 (SFR 39/84)]?,nan,nan,nan,ZA7140,Sofortresonanzen DDR Fernsehen 39. Woche 1984 (SFR 39/84),"[""Media""]","[""German Democratic Republic (1949-1990)""]","[""1984"", ""1984""]"
22,V3_TITLE_ONLY,ZA5003,"The Role of Women in the Informal sector: The Case of Ajegunle, Nigeria","Can you find the dataset titled [The Role of Women in the Informal sector: The Case of Ajegunle, Nigeria]?",nan,nan,nan,ZA5003,"The Role of Women in the Informal sector: The Case of Ajegunle, Nigeria","[""Employment"", ""Community, urban and rural life"", ""TRADE, INDUSTRY AND MARKETS"", ""Specific social services: use and availability""]","[""Lagos""]","[""1983"", ""1983""]"
23,V3_TITLE_ONLY,ZA8286,"The CFS’s (Center for Financial Studies) historical money and capital market data base, Germany 1871 to 1914.","Can you find the dataset titled [The CFS’s (Center for Financial Studies) historical money and capital market data base, Germany 1871 to 1914.]?",nan,nan,nan,ZA8286,"The CFS’s (Center for Financial Studies) historical money and capital market data base, Germany 1871 to 1914.","[""HISTORY""]","[""German Reich (1871-1945)""]","[""1871"", ""1914""]"
24,V3_TITLE_ONLY,ZA0977,The Death Penalty (1978),Can you find the dataset titled [The Death Penalty (1978)]?,nan,nan,nan,ZA0977,The Death Penalty (1978),"[""Crime and law enforcement""]","[""Germany""]","[""1978"", ""1978""]"
25,V3_TITLE_ONLY,ZA6350,Social Situation and Political Orientations of the Jena  Populace before the Municipal Election in May 1990,Can you find the dataset titled [Social Situation and Political Orientations of the Jena Populace before the Municipal Election in May 1990]?,nan,nan,nan,ZA6350,Social Situation and Political Orientations of the Jena  Populace before the Municipal Election in May 1990,"[""Community, urban and rural life"", ""Political behaviour and attitudes"", ""Government, political systems and organisations"", ""Elections""]","[""German Democratic Republic (1949-1990)""]","[""1990"", ""1990""]"
26,V3_TITLE_ONLY,ZA0241,Decatur Study (Personal Influence),Can you find the dataset titled [Decatur Study (Personal Influence)]?,nan,nan,nan,ZA0241,Decatur Study (Personal Influence),"[""MEDIA, COMMUNICATION AND LANGUAGE"", ""SOCIAL STRATIFICATION AND GROUPINGS""]","[""Illinois""]","[""1945"", ""1945""]"
27,V3_TITLE_ONLY,ZA1635,Cologne Study (Reader Analysis of the Koelner Stadt-Anzeiger),Can you find the dataset titled [Cologne Study (Reader Analysis of the Koelner Stadt-Anzeiger)]?,nan,nan,nan,ZA1635,Cologne Study (Reader Analysis of the Koelner Stadt-Anzeiger),"[""Leisure, tourism and sport"", ""Community, urban and rural life"", ""TRANSPORT AND TRAVEL"", ""Consumption and consumer behaviour""]","[""North Rhine-Westphalia""]","[""1986"", ""1986""]"
28,V3_TITLE_ONLY,ZA8874,Learning Progression Analytics - Analysing and Promoting Learning Progressions to Develop Skills (LPA-AFLEK),Can you find the dataset titled [Learning Progression Analytics - Analysing and Promoting Learning Progressions to Develop Skills (LPA-AFLEK)]?,nan,nan,nan,ZA8874,Learning Progression Analytics - Analysing and Promoting Learning Progressions to Develop Skills (LPA-AFLEK),"[""Compulsory and pre-school education""]","[""Schleswig-Holstein""]","[""2021"", ""2023""]"
29,V3_TITLE_ONLY,ZA7652,Trend Questions Corona (Week 13/2020),Can you find the dataset titled [Trend Questions Corona (Week 13/2020)]?,nan,nan,nan,ZA7652,Trend Questions Corona (Week 13/2020),"[""Specific diseases, disorders and medical conditions"", ""MEDIA, COMMUNICATION AND LANGUAGE"", ""Working conditions"", ""Health care services and policies""]","[""Germany""]","[""2020"", ""2020""]"
30,V3_TITLE_ONLY,ZA1157,Preparatory Investigation according to the Law to Promote Urban  Development (Municipality Data),Can you find the dataset titled [Preparatory Investigation according to the Law to Promote Urban Development (Municipality Data)]?,nan,nan,nan,ZA1157,Preparatory Investigation according to the Law to Promote Urban  Development (Municipality Data),"[""Community, urban and rural life"", ""Land use and planning""]","[""Germany""]","[""1968"", ""1968""]"
31,V3_TITLE_ONLY,ZA7759,"German Internet Panel, Wave 51 (January 2021)","Can you find the dataset titled [German Internet Panel, Wave 51 (January 2021)]?",nan,nan,nan,ZA7759,"German Internet Panel, Wave 51 (January 2021)","[""Migration"", ""Physical fitness and exercise"", ""Specific diseases, disorders and medical conditions"", ""Government, political systems and organisations"", ""Political behaviour and attitudes"", ""Social welfare policy"", ""Specific social services: use and availability"", ""Employment""]","[""Germany""]","[""2021"", ""2021""]"
32,V3_TITLE_ONLY,ZA3300,Forsa-Bus 1992,Can you find the dataset titled [Forsa-Bus 1992]?,nan,nan,nan,ZA3300,Forsa-Bus 1992,"[""Political behaviour and attitudes"", ""Government, political systems and organisations"", ""Elections"", ""Economic systems and development""]","[""Germany""]","[""1992"", ""1992""]"
33,V3_TITLE_ONLY,ZA8870,Flash Eurobarometer 550 (EU Challenges and Priorities),Can you find the dataset titled [Flash Eurobarometer 550 (EU Challenges and Priorities)]?,nan,nan,nan,ZA8870,Flash Eurobarometer 550 (EU Challenges and Priorities),"[""International politics and organisations"", ""POLITICS"", ""Conflict, security and peace"", ""Political behaviour and attitudes"", ""Political ideology""]","[""Belgium"", ""Bulgaria"", ""Czech Republic"", ""Denmark"", ""Germany"", ""Estonia"", ""Ireland"", ""Greece"", ""Spain"", ""France"", ""Italy"", ""Cyprus"", ""Latvia"", ""Lithuania"", ""Luxembourg"", ""Hungary"", ""Malta"", ""Netherlands"", ""Austria"", ""Poland"", ""Portugal"", ""Romania"", ""Slovenia"", ""Slovakia"", ""Finland"", ""Sweden"", ""Croatia""]","[""2024"", ""2024""]"
34,V3_TITLE_ONLY,ZA2326,Situation Report Medium-Sized Companies 1991/20,Can you find the dataset titled [Situation Report Medium-Sized Companies 1991/20]?,nan,nan,nan,ZA2326,Situation Report Medium-Sized Companies 1991/20,"[""Business/industrial management and organisation""]","[""Rhineland-Palatinate"", ""North Rhine-Westphalia""]","[""1992"", ""1992""]"
35,V3_TITLE_ONLY,ZA4914,Spring Study 1998,Can you find the dataset titled [Spring Study 1998]?,nan,nan,nan,ZA4914,Spring Study 1998,"[""Social behaviour and attitudes"", ""Political behaviour and attitudes"", ""Government, political systems and organisations"", ""Elections""]","[""Germany""]","[""1998"", ""1998""]"
36,V3_TITLE_ONLY,ZA8996,The Berlin Pulse - German Foreign Policy 2024,Can you find the dataset titled [The Berlin Pulse - German Foreign Policy 2024]?,nan,nan,nan,ZA8996,The Berlin Pulse - German Foreign Policy 2024,"[""Conflict, security and peace"", ""International politics and organisations"", ""Political behaviour and attitudes""]","[""Germany""]","[""2024"", ""2024""]"
37,V3_TITLE_ONLY,ZA1376,Youth Industrial Health and Safety in Practice in Hesse from the Perspective of Young People,Can you find the dataset titled [Youth Industrial Health and Safety in Practice in Hesse from the Perspective of Young People]?,nan,nan,nan,ZA1376,Youth Industrial Health and Safety in Practice in Hesse from the Perspective of Young People,"[""Working conditions"", ""Vocational education and training"", ""Occupational health""]","[""Hesse""]","[""1983"", ""1984""]"
38,V3_TITLE_ONLY,ZA7746,"German Business Panel, Covid-19 Survey (2020/2021). Data file for on-site use","Can you find the dataset titled [German Business Panel, Covid-19 Survey (2020/2021). Data file for on-site use]?",nan,nan,nan,ZA7746,"German Business Panel, Covid-19 Survey (2020/2021). Data file for on-site use","[""Economic conditions and indicators"", ""Economic policy,  public expenditure and revenue"", ""TRADE, INDUSTRY AND MARKETS"", ""Business/industrial management and organisation""]","[""Germany""]","[""2020"", ""2021""]"
39,V3_TITLE_ONLY,ZA8614,histat - data compilation online: Wages and Salaries (Indices) in Germany 1913/14 - 2006,Can you find the dataset titled [histat - data compilation online: Wages and Salaries (Indices) in Germany 1913/14 - 2006]?,nan,nan,nan,ZA8614,histat - data compilation online: Wages and Salaries (Indices) in Germany 1913/14 - 2006,"[""HISTORY"", ""Income, property and investment/saving""]","[""Germany""]","[""1913"", ""2006""]"
40,V3_TITLE_ONLY,ZA4456,Flash Eurobarometer 197 (Satisfaction with EC Representations in 11 Member States),Can you find the dataset titled [Flash Eurobarometer 197 (Satisfaction with EC Representations in 11 Member States)]?,nan,nan,nan,ZA4456,Flash Eurobarometer 197 (Satisfaction with EC Representations in 11 Member States),"[""International politics and organisations"", ""Political behaviour and attitudes""]","[""Denmark"", ""Germany"", ""Spain"", ""France"", ""Ireland"", ""Italy"", ""Portugal"", ""United Kingdom"", ""Estonia"", ""Hungary"", ""Slovenia""]","[""2006"", ""2006""]"
41,V3_TITLE_ONLY,ZA5273,German General Social Survey - ALLBUScompact 2018,Can you find the dataset titled [German General Social Survey - ALLBUScompact 2018]?,nan,nan,nan,ZA5273,German General Social Survey - ALLBUScompact 2018,"[""Economic conditions and indicators"", ""Information society"", ""Political behaviour and attitudes"", ""Government, political systems and organisations"", ""Equality, inequality and social exclusion"", ""Cultural and national identity"", ""Social behaviour and attitudes"", ""Religion and values""]","[""Germany""]","[""2018"", ""2018""]"
42,V3_TITLE_ONLY,SDN-10.7802-2839,MEDem User Survey 2024,Can you find the dataset titled [MEDem User Survey 2024]?,nan,nan,nan,SDN-10.7802-2839,MEDem User Survey 2024,"[""Data management"", ""Knowledge transfer"", ""Research collaboration"", ""research documentation"", ""data access"", ""data documentation"", ""data storage"", ""democracy""]",[],"[""2024"", ""2024""]"
43,V3_TITLE_ONLY,ZA6342,Foreigners in Eastern Germany 1990,Can you find the dataset titled [Foreigners in Eastern Germany 1990]?,nan,nan,nan,ZA6342,Foreigners in Eastern Germany 1990,"[""Employment"", ""Migration"", ""Cultural activities and participation"", ""Equality, inequality and social exclusion"", ""Economic conditions and indicators""]","[""German Democratic Republic (1949-1990)""]","[""1990"", ""1990""]"
44,V3_TITLE_ONLY,SDN-10.7802-2822,Monitor Digitalisierung 360° - WiSe 2023/24,Can you find the dataset titled [Monitor Digitalisierung 360° - WiSe 2023/24]?,nan,nan,nan,SDN-10.7802-2822,Monitor Digitalisierung 360° - WiSe 2023/24,"[""university"", ""university policy"", ""digitalization"", ""artificial intelligence"", ""university research""]","[""Germany""]","[""2023"", ""2024""]"
45,V3_TITLE_ONLY,ZA0265,"Reader Analysis of the Mannesmann Company Magazine, UNSER WERKTAG","Can you find the dataset titled [Reader Analysis of the Mannesmann Company Magazine, UNSER WERKTAG]?",nan,nan,nan,ZA0265,"Reader Analysis of the Mannesmann Company Magazine, UNSER WERKTAG","[""Business/industrial management and organisation"", ""Media""]","[""Germany""]","[""1967"", ""1967""]"
46,V3_TITLE_ONLY,SDN-10.7802-1754,Dataset of Italian Municipal Unions (Intermunicipal Cooperation forms). 1996-2015.,Can you find the dataset titled [Dataset of Italian Municipal Unions (Intermunicipal Cooperation forms). 1996-2015.]?,nan,nan,nan,SDN-10.7802-1754,Dataset of Italian Municipal Unions (Intermunicipal Cooperation forms). 1996-2015.,[],"[""Italy""]","[""1996"", ""2015""]"
