query_id,query_text,query_variant,query_topics,query_countries,query_time_collection_years,query_time_display,source_dataset_id,source_title,source_doi,source_portal_url,source_row
1,"Can you find the dataset titled [Federal Parliament Election 1972 (Panel: 2nd Wave, October 1971 - January 1972)]?",V3_TITLE_ONLY,,,,,ZA0840,"Federal Parliament Election 1972 (Panel: 2nd Wave, October 1971 - January 1972)","[""10.4232/1.0840""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=0840&db=D,2
2,Can you find the dataset titled [Political Socialization in Pre-School Age]?,V3_TITLE_ONLY,,,,,ZA0529,Political Socialization in Pre-School Age,"[""10.4232/1.0529""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=0529&db=D,3
3,Can you find the dataset titled [Social Change and Violent Crime]?,V3_TITLE_ONLY,,,,,ZA8194,Social Change and Violent Crime,"[""10.4232/1.8194""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=8194&db=D,4
4,Can you find the dataset titled [Social Science Telephone Interviews among the General Public via the Mobile Phone Net (CELLA 1)]?,V3_TITLE_ONLY,,,,,ZA4875,Social Science Telephone Interviews among the General Public via the Mobile Phone Net (CELLA 1),"[""10.4232/1.4875""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=4875&db=D,5
5,Can you find the dataset titled [Political Situation in West Berlin (Young People from the GDR)]?,V3_TITLE_ONLY,,,,,ZA0590,Political Situation in West Berlin (Young People from the GDR),"[""10.4232/1.0590""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=0590&db=D,6
6,Can you find the dataset titled [General Public´s Trust in Politics]?,V3_TITLE_ONLY,,,,,ZA6621,General Public´s Trust in Politics,"[""10.4232/1.12710""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=6621&db=D,7
7,Can you find the dataset titled [Sofortresonanzen DDR Fernsehen 5. Woche 1988 (SFR 5/88)]?,V3_TITLE_ONLY,,,,,ZA7315,Sofortresonanzen DDR Fernsehen 5. Woche 1988 (SFR 5/88),"[""10.4232/1.10556""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=7315&db=D,8
8,Can you find the dataset titled [Second European Survey of Enterprises on New and Emerging Risks 2014 (ESENER-2)]?,V3_TITLE_ONLY,,,,,ZA6865,Second European Survey of Enterprises on New and Emerging Risks 2014 (ESENER-2),"[""10.4232/1.12965""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=6865&db=D,9
9,Can you find the dataset titled [Family Planning as Health Task]?,V3_TITLE_ONLY,,,,,ZA0682,Family Planning as Health Task,"[""10.4232/1.12464"", ""10.4232/1.0682""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=0682&db=D,10
10,Can you find the dataset titled [Partnership Conflicts and Psychosomatic Gynecological Illnesses 1988/89 (Additional Survey: Sterile Women)]?,V3_TITLE_ONLY,,,,,ZA6370,Partnership Conflicts and Psychosomatic Gynecological Illnesses 1988/89 (Additional Survey: Sterile Women),"[""10.4232/1.6370""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=6370&db=D,11
11,Can you find the dataset titled [Sexual Conduct of Men and Women in the Federal Republic of Germany 1989]?,V3_TITLE_ONLY,,,,,ZA2235,Sexual Conduct of Men and Women in the Federal Republic of Germany 1989,"[""10.4232/1.2235""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=2235&db=D,12
12,"Can you find the dataset titled [""Arma sunt necessaria"" (Arms are necessary) Guns, Gun Culture and Cultural Origins of the Second Amendment to the U.S. Constitution]?",V3_TITLE_ONLY,,,,,ZA8413,"""Arma sunt necessaria"" (Arms are necessary) Guns, Gun Culture and Cultural Origins of the Second Amendment to the U.S. Constitution","[""10.4232/1.8413""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=8413&db=D,13
13,Can you find the dataset titled [A Survey of Europe Today (Finland)]?,V3_TITLE_ONLY,,,,,ZA1296,A Survey of Europe Today (Finland),"[""10.4232/1.1296""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=1296&db=D,14
14,Can you find the dataset titled [College Education and Profession]?,V3_TITLE_ONLY,,,,,ZA1458,College Education and Profession,"[""10.4232/1.1458""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=1458&db=D,15
15,Can you find the dataset titled [50 Years Federal Republic of Germany]?,V3_TITLE_ONLY,,,,,ZA3222,50 Years Federal Republic of Germany,"[""10.4232/1.3222""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=3222&db=D,16
16,Can you find the dataset titled [Future Plans of Young People at Special Schools of Emotional and Social Development]?,V3_TITLE_ONLY,,,,,ZA6262,Future Plans of Young People at Special Schools of Emotional and Social Development,"[""10.4232/1.13487""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=6262&db=D,17
17,Can you find the dataset titled [Citizen Survey Duisburg (Spring 2000)]?,V3_TITLE_ONLY,,,,,ZA3468,Citizen Survey Duisburg (Spring 2000),"[""10.4232/1.3468""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=3468&db=D,18
18,Can you find the dataset titled [Flash Eurobarometer 10 (Managers)]?,V3_TITLE_ONLY,,,,,ZA2146,Flash Eurobarometer 10 (Managers),"[""10.4232/1.2146""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=2146&db=D,19
19,Can you find the dataset titled [Labour market policy in the German Empire.]?,V3_TITLE_ONLY,,,,,ZA8423,Labour market policy in the German Empire.,"[""10.4232/1.10284""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=8423&db=D,20
20,"Can you find the dataset titled [Duisburg Citizen Survey (Autumn 2002, Foreign population)]?",V3_TITLE_ONLY,,,,,ZA4347,"Duisburg Citizen Survey (Autumn 2002, Foreign population)","[""10.4232/1.4347""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=4347&db=D,21
21,Can you find the dataset titled [Sofortresonanzen DDR Fernsehen 39. Woche 1984 (SFR 39/84)]?,V3_TITLE_ONLY,,,,,ZA7140,Sofortresonanzen DDR Fernsehen 39. Woche 1984 (SFR 39/84),"[""10.4232/1.7140""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=7140&db=D,22
22,"Can you find the dataset titled [The Role of Women in the Informal sector: The Case of Ajegunle, Nigeria]?",V3_TITLE_ONLY,,,,,ZA5003,"The Role of Women in the Informal sector: The Case of Ajegunle, Nigeria","[""10.4232/1.5003""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=5003&db=D,23
23,"Can you find the dataset titled [The CFS’s (Center for Financial Studies) historical money and capital market data base, Germany 1871 to 1914.]?",V3_TITLE_ONLY,,,,,ZA8286,"The CFS’s (Center for Financial Studies) historical money and capital market data base, Germany 1871 to 1914.","[""10.4232/1.8286""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=8286&db=D,24
24,Can you find the dataset titled [The Death Penalty (1978)]?,V3_TITLE_ONLY,,,,,ZA0977,The Death Penalty (1978),"[""10.4232/1.0977""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=0977&db=D,25
25,Can you find the dataset titled [Social Situation and Political Orientations of the Jena Populace before the Municipal Election in May 1990]?,V3_TITLE_ONLY,,,,,ZA6350,Social Situation and Political Orientations of the Jena  Populace before the Municipal Election in May 1990,"[""10.4232/1.6350""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=6350&db=D,26
26,Can you find the dataset titled [Decatur Study (Personal Influence)]?,V3_TITLE_ONLY,,,,,ZA0241,Decatur Study (Personal Influence),"[""10.4232/1.0241""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=0241&db=D,27
27,Can you find the dataset titled [Cologne Study (Reader Analysis of the Koelner Stadt-Anzeiger)]?,V3_TITLE_ONLY,,,,,ZA1635,Cologne Study (Reader Analysis of the Koelner Stadt-Anzeiger),"[""10.4232/1.1635""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=1635&db=D,28
