query_id,query_text,query_variant
1,"[""Social behaviour and attitudes"", ""Political behaviour and attitudes"", ""Government, political systems and organisations"", ""Elections""]",V1_TOPIC
2,"[""Political behaviour and attitudes"", ""Government, political systems and organisations"", ""Elections""]",V1_TOPIC
3,"[""Leisure, tourism and sport"", ""Community, urban and rural life"", ""TRANSPORT AND TRAVEL"", ""Consumption and consumer behaviour""]",V1_TOPIC
4,"[""Conflict, security and peace"", ""International politics and organisations"", ""Political behaviour and attitudes""]",V1_TOPIC
5,"[""Employment"", ""Community, urban and rural life"", ""TRADE, INDUSTRY AND MARKETS"", ""Specific social services: use and availability""]",V1_TOPIC
6,"[""International politics and organisations"", ""POLITICS"", ""Conflict, security and peace"", ""Political behaviour and attitudes"", ""Political ideology""]",V1_TOPIC
7,"[""Reproductive health"", ""Specific diseases, disorders and medical conditions"", ""Family life and marriage""]",V1_TOPIC
8,"[""Higher and further education"", ""Social behaviour and attitudes"", ""Political behaviour and attitudes""]",V1_TOPIC
9,"[""Social conditions and indicators"", ""Political behaviour and attitudes"", ""Youth"", ""Economic systems and development""]",V1_TOPIC
10,"[""Employment"", ""Higher and further education""]",V1_TOPIC
11,"[""Government, political systems and organisations"", ""International politics and organisations"", ""Political behaviour and attitudes""]",V1_TOPIC
12,"[""Economic conditions and indicators"", ""Economic policy, public expenditure and revenue"", ""TRADE, INDUSTRY AND MARKETS"", ""Business/industrial management and organisation""]",V1_TOPIC
13,"[""Crime and law enforcement"", ""Legislation and legal systems"", ""PSYCHOLOGY"", ""Family life and marriage"", ""Community, urban and rural life"", ""Leisure, tourism and sport"", ""Social behaviour and attitudes"", ""Time use"", ""Vocational education and training"", ""Employment""]",V1_TOPIC
14,"[""International politics and organisations"", ""Political behaviour and attitudes""]",V1_TOPIC
15,[],V1_TOPIC
16,"[""Government, political systems and organisations"", ""Political behaviour and attitudes"", ""Political ideology""]",V1_TOPIC
17,"[""Social conditions and indicators"", ""Youth""]",V1_TOPIC
18,"[""Social behaviour and attitudes"", ""Political behaviour and attitudes"", ""Government, political systems and organisations"", ""Equality, inequality and social exclusion""]",V1_TOPIC
19,"[""protest movement"", ""agricultural policy"", ""nutrition policy""]",V1_TOPIC
20,"[""Business/industrial management and organisation"", ""Media""]",V1_TOPIC
21,"[""Employment"", ""Leisure, tourism and sport"", ""Reproductive health"", ""Specific diseases, disorders and medical conditions"", ""Family life and marriage"", ""Gender and gender roles""]",V1_TOPIC
22,"[""LAW, CRIME AND LEGAL SYSTEMS"", ""Crime and law enforcement"", ""International politics and organisations""]",V1_TOPIC
23,"[""Media"", ""POLITICS"", ""Political behaviour and attitudes"", ""Government, political systems and organisations""]",V1_TOPIC
24,"[""Political behaviour and attitudes"", ""SOCIAL STRATIFICATION AND GROUPINGS"", ""Minorities"", ""Equality, inequality and social exclusion"", ""Cultural and national identity""]",V1_TOPIC
25,"[""HISTORY"", ""Income, property and investment/saving""]",V1_TOPIC
26,"[""Religion and values""]",V1_TOPIC
27,"[""Community, urban and rural life""]",V1_TOPIC
28,"[""Higher and further education"", ""Media"", ""International politics and organisations"", ""Political behaviour and attitudes"", ""Government, political systems and organisations"", ""SOCIAL STRATIFICATION AND GROUPINGS""]",V1_TOPIC
29,"[""Business/industrial management and organisation"", ""Economic systems and development""]",V1_TOPIC
30,"[""university"", ""university policy"", ""digitalization"", ""artificial intelligence"", ""university research""]",V1_TOPIC
31,"[""affectedness"", ""epidemic"", ""comparison"", ""reference group"", ""social status"", ""satisfaction with life""]",V1_TOPIC
32,"[""Employment"", ""Cultural activities and participation"", ""Specific diseases, disorders and medical conditions"", ""Media"", ""Political behaviour and attitudes"", ""Government, political systems and organisations"", ""Family life and marriage"", ""Youth""]",V1_TOPIC
33,"[""Working conditions"", ""Occupational health""]",V1_TOPIC
34,"[""Employment"", ""Business/industrial management and organisation"", ""PSYCHOLOGY""]",V1_TOPIC
35,"[""Political behaviour and attitudes"", ""Elections""]",V1_TOPIC
36,"[""Crime and law enforcement""]",V1_TOPIC
37,"[""International politics and organisations"", ""Conflict, security and peace"", ""Government, political systems and organisations"", ""Economic systems and development""]",V1_TOPIC
38,"[""Community, urban and rural life"", ""Land use and planning""]",V1_TOPIC
39,"[""parliamentary debate"", ""Croatia""]",V1_TOPIC
40,"[""Social conditions and indicators"", ""Political behaviour and attitudes"", ""Government, political systems and organisations"", ""Elections""]",V1_TOPIC
41,"[""Employment"", ""TRADE, INDUSTRY AND MARKETS""]",V1_TOPIC
42,"[""MEDIA, COMMUNICATION AND LANGUAGE"", ""Information technology""]",V1_TOPIC
43,"[""Migration"", ""Community, urban and rural life"", ""Government, political systems and organisations""]",V1_TOPIC
44,"[""Employment"", ""Migration"", ""Cultural activities and participation"", ""Equality, inequality and social exclusion"", ""Economic conditions and indicators""]",V1_TOPIC
45,"[""Reproductive health""]",V1_TOPIC
46,"[""Cultural and national identity"", ""Minorities"", ""International politics and organisations"", ""Migration""]",V1_TOPIC
47,"[""Media""]",V1_TOPIC
48,"[""Economic conditions and indicators"", ""Information society"", ""Political behaviour and attitudes"", ""Government, political systems and organisations"", ""Equality, inequality and social exclusion"", ""Cultural and national identity"", ""Social behaviour and attitudes"", ""Religion and values""]",V1_TOPIC
49,"[""Religion and values"", ""Social behaviour and attitudes"", ""Political behaviour and attitudes"", ""Government, political systems and organisations"", ""SOCIAL STRATIFICATION AND GROUPINGS"", ""Family life and marriage"", ""Economic systems and development""]",V1_TOPIC
50,"[""Employment"", ""Leisure, tourism and sport"", ""Community, urban and rural life"", ""Housing""]",V1_TOPIC
51,"[""Higher and further education"", ""Political behaviour and attitudes"", ""Government, political systems and organisations""]",V1_TOPIC
52,"[""Medication and treatment"", ""Specific diseases, disorders and medical conditions""]",V1_TOPIC
53,"[""Community, urban and rural life"", ""Cultural activities and participation"", ""Political behaviour and attitudes"", ""Government, political systems and organisations"", ""Housing""]",V1_TOPIC
54,"[""Political behaviour and attitudes"", ""Government, political systems and organisations"", ""Elections"", ""Economic systems and development""]",V1_TOPIC
55,"[""Social behaviour and attitudes"", ""Crime and law enforcement"", ""International politics and organisations"", ""Conflict, security and peace"", ""Political behaviour and attitudes"", ""Government, political systems and organisations"", ""Elections"", ""Economic conditions and indicators"", ""Economic policy, public expenditure and revenue"", ""Economic systems and development""]",V1_TOPIC
56,"[""Migration"", ""Physical fitness and exercise"", ""Specific diseases, disorders and medical conditions"", ""Government, political systems and organisations"", ""Political behaviour and attitudes"", ""Social welfare policy"", ""Specific social services: use and availability"", ""Employment""]",V1_TOPIC
57,"[""Diet and nutrition"", ""General health and well-being"", ""Medication and treatment"", ""Specific diseases, disorders and medical conditions""]",V1_TOPIC
58,"[""Specific diseases, disorders and medical conditions"", ""MEDIA, COMMUNICATION AND LANGUAGE"", ""Working conditions"", ""Health care services and policies""]",V1_TOPIC
59,"[""Employment"", ""Vocational education and training"", ""Higher and further education"", ""Social conditions and indicators"", ""Family life and marriage""]",V1_TOPIC
60,"[""mass media"", ""online media"", ""media consumption"", ""digital media"", ""methodology"", ""data preparation"", ""data bank""]",V1_TOPIC
61,"[""Consumption and consumer behaviour""]",V1_TOPIC
62,"[""Leisure, tourism and sport"", ""Social behaviour and attitudes"", ""Media"", ""TRANSPORT AND TRAVEL"", ""Consumption and consumer behaviour"", ""Economic systems and development"", ""Economic conditions and indicators""]",V1_TOPIC
63,"[""Working conditions"", ""Vocational education and training"", ""Occupational health""]",V1_TOPIC
64,"[""Social behaviour and attitudes"", ""Medication and treatment"", ""Specific diseases, disorders and medical conditions"", ""Language and linguistics"", ""International politics and organisations"", ""Political behaviour and attitudes""]",V1_TOPIC
65,"[""Social behaviour and attitudes"", ""SOCIAL STRATIFICATION AND GROUPINGS"", ""Family life and marriage""]",V1_TOPIC
66,"[""International politics and organisations"", ""Conflict, security and peace""]",V1_TOPIC
67,"[""Social behaviour and attitudes"", ""Media"", ""Political behaviour and attitudes"", ""Government, political systems and organisations"", ""Elections"", ""Economic policy, public expenditure and revenue"", ""Economic systems and development""]",V1_TOPIC
68,"[""Data management"", ""Knowledge transfer"", ""Research collaboration"", ""research documentation"", ""data access"", ""data documentation"", ""data storage"", ""democracy""]",V1_TOPIC
69,"[""Business/industrial management and organisation""]",V1_TOPIC
70,"[""Compulsory and pre-school education"", ""Children""]",V1_TOPIC
71,"[""Leisure, tourism and sport"", ""Youth""]",V1_TOPIC
72,"[""MEDIA, COMMUNICATION AND LANGUAGE"", ""SOCIAL STRATIFICATION AND GROUPINGS""]",V1_TOPIC
73,"[""HISTORY""]",V1_TOPIC
74,"[""Compulsory and pre-school education""]",V1_TOPIC
75,"[""Economic systems and development""]",V1_TOPIC
76,"[""Community, urban and rural life"", ""Political behaviour and attitudes"", ""Government, political systems and organisations"", ""Elections""]",V1_TOPIC
77,"[""Media"", ""Language and linguistics""]",V1_TOPIC
78,"[""Political behaviour and attitudes"", ""Government, political systems and organisations""]",V1_TOPIC
79,"[""Youth"", ""EDUCATION"", ""Higher and further education"", ""Migration"", ""Social behaviour and attitudes"", ""Leisure, tourism and sport"", ""Children"", ""Family life and marriage""]",V1_TOPIC
80,"[""digitalization"", ""telecommuting"", ""workaholism"", ""job performance""]",V1_TOPIC
81,"[""Data management"", ""Knowledge transfer"", ""Research collaboration"", ""research documentation"", ""data access"", ""data documentation"", ""data storage"", ""democracy""] Self-administered questionnaire:CASI(Computer-assisted Self-interview)",V2_TOPIC_METHOD
82,"[""Crime and law enforcement""] Oral survey with standardized questionnaire",V2_TOPIC_METHOD
83,"[""Employment"", ""Business/industrial management and organisation"", ""PSYCHOLOGY""] Online Befragung mit standardisiertem Fragebogen",V2_TOPIC_METHOD
84,"[""Political behaviour and attitudes"", ""Government, political systems and organisations"", ""Elections""] Face-to-face interview with standardized questionnaire",V2_TOPIC_METHOD
85,"[""Political behaviour and attitudes"", ""Government, political systems and organisations"", ""Elections""] &bull; Face-to-face interview; Oral survey with standardized questionnaire",V2_TOPIC_METHOD
86,"[""Compulsory and pre-school education""] &bull; Educational measurements and tests &bull; Self-administered questionnaire: Web-based (CAWI) &bull; Content coding;",V2_TOPIC_METHOD
87,"[""Economic conditions and indicators"", ""Information society"", ""Political behaviour and attitudes"", ""Government, political systems and organisations"", ""Equality, inequality and social exclusion"", ""Cultural and national identity"", ""Social behaviour and attitudes"", ""Religion and values""] &bull; Face-to-face interview: Computer-assisted (CAPI/CAMI) &bull; Self-administered questionnaire: Computer-assisted (CASI); Personal, oral interview with standardized questionnaire (CAPI – Computer Assisted Personal Interviewing) and two additional self-completion questionnaires (CASI – Computer Assisted Self-Interviewing) for ISSP (split questionnaire design).",V2_TOPIC_METHOD
88,"[""Media"", ""Language and linguistics""] &bull; Telephone interview;",V2_TOPIC_METHOD
89,"[""Reproductive health"", ""Specific diseases, disorders and medical conditions"", ""Family life and marriage""] Oral survey and written survey with standardized questionnaire",V2_TOPIC_METHOD
90,"[""Social behaviour and attitudes"", ""Crime and law enforcement"", ""International politics and organisations"", ""Conflict, security and peace"", ""Political behaviour and attitudes"", ""Government, political systems and organisations"", ""Elections"", ""Economic conditions and indicators"", ""Economic policy, public expenditure and revenue"", ""Economic systems and development""] &bull; Telephone interview; Telephone survey with standardized questionnaire",V2_TOPIC_METHOD
91,"[""Economic systems and development""] &bull; Telephone interview;",V2_TOPIC_METHOD
92,"[""Working conditions"", ""Vocational education and training"", ""Occupational health""] Oral survey with standardized questionnaire",V2_TOPIC_METHOD
93,"[""digitalization"", ""telecommuting"", ""workaholism"", ""job performance""] Telephone interview:CATI(Computer Assisted Telephone Interview)",V2_TOPIC_METHOD
94,"[""Political behaviour and attitudes"", ""Government, political systems and organisations"", ""Elections""] &bull; Self-administered questionnaire: Web-based (CAWI);",V2_TOPIC_METHOD
95,"[""Leisure, tourism and sport"", ""Social behaviour and attitudes"", ""Media"", ""TRANSPORT AND TRAVEL"", ""Consumption and consumer behaviour"", ""Economic systems and development"", ""Economic conditions and indicators""] Oral survey with standardized questionnaire",V2_TOPIC_METHOD
96,"[""Social conditions and indicators"", ""Political behaviour and attitudes"", ""Youth"", ""Economic systems and development""] Oral survey with standardized questionnaire",V2_TOPIC_METHOD
97,"[""HISTORY""] Sources: Publications of the official Statistics: Reichsarbeitsblatt; Statistisches Jahrbuch für das Deutsche Reich; Erhebung über Arbeitsnachweise 1912; Statistisches Jahrbuch deutscher Städte. Data of research literature.",V2_TOPIC_METHOD
98,"[""Community, urban and rural life"", ""Land use and planning""] Content analysis and file analysis",V2_TOPIC_METHOD
99,"[""Government, political systems and organisations"", ""Political behaviour and attitudes"", ""Political ideology""] &bull; Telephone interview: Computer-assisted (CATI);",V2_TOPIC_METHOD
100,"[""Consumption and consumer behaviour""] Oral and written survey with standardized questionnaire",V2_TOPIC_METHOD
101,"[""International politics and organisations"", ""Conflict, security and peace"", ""Government, political systems and organisations"", ""Economic systems and development""] Mündliche Befragung mit standardisiertem Fragebogen",V2_TOPIC_METHOD
102,"[""LAW, CRIME AND LEGAL SYSTEMS"", ""Crime and law enforcement"", ""International politics and organisations""] &bull; Telephone interview: Computer-assisted (CATI);",V2_TOPIC_METHOD
103,"[""Social behaviour and attitudes"", ""Media"", ""Political behaviour and attitudes"", ""Government, political systems and organisations"", ""Elections"", ""Economic policy, public expenditure and revenue"", ""Economic systems and development""] &bull; Self-administered questionnaire: Web-based (CAWI);",V2_TOPIC_METHOD
104,"[""Political behaviour and attitudes"", ""Government, political systems and organisations"", ""Elections"", ""Economic systems and development""] &bull; Telephone interview: Computer-assisted (CATI);",V2_TOPIC_METHOD
105,"[""Social behaviour and attitudes"", ""Political behaviour and attitudes"", ""Government, political systems and organisations"", ""Elections""] &bull; Face-to-face interview;",V2_TOPIC_METHOD
106,"[""HISTORY""] Kombinierte Auswahl und Zufallsziehung der Untersuchungsjahre, Zufallsstichprobe der Inventare.",V2_TOPIC_METHOD
107,"[""Social behaviour and attitudes"", ""Political behaviour and attitudes"", ""Government, political systems and organisations"", ""Equality, inequality and social exclusion""] Oral survey with standardized questionnaire",V2_TOPIC_METHOD
108,"[""Religion and values""] &bull; Face-to-face interview;",V2_TOPIC_METHOD
109,"[""International politics and organisations"", ""POLITICS"", ""Conflict, security and peace"", ""Political behaviour and attitudes"", ""Political ideology""] &bull; Self-administered questionnaire: Web-based (CAWI);",V2_TOPIC_METHOD
110,[],V2_TOPIC_METHOD
111,"[""Employment"", ""Leisure, tourism and sport"", ""Reproductive health"", ""Specific diseases, disorders and medical conditions"", ""Family life and marriage"", ""Gender and gender roles""] Written survey",V2_TOPIC_METHOD
112,"[""International politics and organisations"", ""Conflict, security and peace""] Mündliche Befragung mit standardisiertem Fragebogen",V2_TOPIC_METHOD
113,"[""Media"", ""POLITICS"", ""Political behaviour and attitudes"", ""Government, political systems and organisations""] Telephone interview: CATI (Computer Assisted Telephone Interview)",V2_TOPIC_METHOD
114,"[""university"", ""university policy"", ""digitalization"", ""artificial intelligence"", ""university research""] Self-administered questionnaire:CAWI(Computer-assisted web interviewing)",V2_TOPIC_METHOD
115,"[""Community, urban and rural life""] Oral survey with standardized questionnaire",V2_TOPIC_METHOD
116,"[""Community, urban and rural life"", ""Cultural activities and participation"", ""Political behaviour and attitudes"", ""Government, political systems and organisations"", ""Housing""] Mündliche Befragung mit standardisiertem Fragebogen",V2_TOPIC_METHOD
117,"[""HISTORY""] Sources: Official statistics.",V2_TOPIC_METHOD
118,"[""Conflict, security and peace"", ""International politics and organisations"", ""Political behaviour and attitudes""] &bull; Telephone interview: Computer-assisted (CATI);",V2_TOPIC_METHOD
119,"[""Working conditions"", ""Occupational health""] Telephoneinterview: CATI (Computer Assisted Telephone Interview) Self-administered questionnaire: CAWI (Computer-Assisted Web Interview)",V2_TOPIC_METHOD
120,"[""Political behaviour and attitudes"", ""Government, political systems and organisations""]",V2_TOPIC_METHOD
121,"[""Specific diseases, disorders and medical conditions"", ""MEDIA, COMMUNICATION AND LANGUAGE"", ""Working conditions"", ""Health care services and policies""] &bull; Telephone interview: Computer-assisted (CATI);",V2_TOPIC_METHOD
122,"[""Migration"", ""Community, urban and rural life"", ""Government, political systems and organisations""] Mündliche Befragung mit standardisiertem Fragebogen",V2_TOPIC_METHOD
123,"[""Social behaviour and attitudes"", ""Medication and treatment"", ""Specific diseases, disorders and medical conditions"", ""Language and linguistics"", ""International politics and organisations"", ""Political behaviour and attitudes""] Oral survey with standardized questionnaire",V2_TOPIC_METHOD
124,"[""Leisure, tourism and sport"", ""Community, urban and rural life"", ""TRANSPORT AND TRAVEL"", ""Consumption and consumer behaviour""] Oral survey with standardized questionnaire",V2_TOPIC_METHOD
125,"[""Diet and nutrition"", ""General health and well-being"", ""Medication and treatment"", ""Specific diseases, disorders and medical conditions""] Written survey",V2_TOPIC_METHOD
126,"[""Employment"", ""Higher and further education""] &bull; Self-administered questionnaire: Paper; Mail survey",V2_TOPIC_METHOD
