variant;provider;model;requests;response_status;strict_source_hits;strict_source_hit_value;source_hits;source_hit_value;strict_gesis_hits;strict_gesis_hit_value;gesis_hits;gesis_hit_value;title_gesis_hits;title_gesis_hit_value
V1;OpenWebUI;gpt-5.4;85;items=78, zero_items=7;0 / 85;0.000;1 / 85;0.012;10 / 85;0.118;23 / 85;0.271;22 / 85;0.259
V6;OpenWebUI;gpt-5.4;87;items=85, zero_items=2;0 / 87;0.000;6 / 87;0.069;12 / 87;0.138;23 / 87;0.264;25 / 87;0.287
V1;OpenAI;chat-latest;85;items=85;7 / 85;0.082;10 / 85;0.118;21 / 85;0.247;33 / 85;0.388;26 / 85;0.306
V2;OpenAI;chat-latest;250;items=213, zero_items=37;14 / 250;0.056;16 / 250;0.064;53 / 250;0.212;57 / 250;0.228;50 / 250;0.200
V3;OpenAI;chat-latest;100;items=85, zero_items=15;37 / 100;0.370;72 / 100;0.720;37 / 100;0.370;72 / 100;0.720;75 / 100;0.750
V6;OpenAI;chat-latest;87;items=87;23 / 87;0.264;30 / 87;0.345;37 / 87;0.425;46 / 87;0.529;37 / 87;0.425
V1;Gemini;gemini-3.6-flash;85;items=85;1 / 85;0.012;3 / 85;0.035;18 / 85;0.212;23 / 85;0.271;19 / 85;0.224
V2;Gemini;gemini-3.6-flash;250;items=250;6 / 250;0.024;8 / 250;0.032;32 / 250;0.128;41 / 250;0.164;37 / 250;0.148
V3;Gemini;gemini-3.6-flash;100;items=98, api_error=2;64 / 100;0.640;78 / 100;0.780;64 / 100;0.640;78 / 100;0.780;88 / 100;0.880
V6;Gemini;gemini-3.6-flash;87;items=85, api_error=1, zero_items=1;28 / 87;0.322;32 / 87;0.368;37 / 87;0.425;44 / 87;0.506;30 / 87;0.345
