variant_short;query_id;query_variant;mode;model;rank;source_dataset_id;returned_title;returned_url_or_doi;matched_dataset_id;is_strict_source_dataset;is_source_dataset;is_title_source_dataset;is_strict_gesis_relevant_dataset;is_gesis_relevant_dataset;link_valid;match_method;title_match_method
V1;1;V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;chat-latest;1;ZA7500;European Values Study 2017: Integrated Dataset (EVS 2017);https://doi.org/10.4232/1.13511;ZA7500;0;1;1;0;1;False;title_exact;title_exact
V1;1;V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;chat-latest;2;ZA7500;European Values Study / World Values Survey Joint EVS/WVS 2017-2022 Dataset;https://www.gesis.org/en/european-values-study/data-and-documentation/joint-evs/wvs-2017-2022-dataset;ZA7505;0;0;0;0;1;False;title_fuzzy;title_fuzzy
V1;1;V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;chat-latest;3;ZA7500;European Social Survey Data Portal;https://www.europeansocialsurvey.org/data-portal;ZA4512;0;0;0;0;0;False;title_fuzzy;title_fuzzy
V1;1;V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;chat-latest;4;ZA7500;International Social Survey Programme: Environment III - ISSP 2010;https://doi.org/10.4232/1.13271;ZA5500;0;0;0;0;0;True;doi;title_exact
V1;1;V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;chat-latest;5;ZA7500;International Social Survey Programme: Family and Changing Gender Roles IV - ISSP 2012;https://doi.org/10.4232/1.12022;ZA5900;0;0;0;0;0;False;title_exact;title_exact
V1;1;V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;chat-latest;6;ZA7500;International Social Survey Programme: National Identity III - ISSP 2013;https://doi.org/10.4232/1.12312;ZA5950;0;0;0;0;0;True;doi;title_exact
V1;1;V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;chat-latest;7;ZA7500;International Social Survey Programme: Citizenship II - ISSP 2014;https://doi.org/10.4232/1.12590;ZA6670;0;0;0;0;0;True;doi;title_exact
V1;1;V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;chat-latest;8;ZA7500;International Social Survey Programme: Work Orientations IV - ISSP 2015;https://doi.org/10.4232/1.12848;ZA6770;0;0;0;0;0;True;doi;title_exact
V1;1;V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;chat-latest;9;ZA7500;International Social Survey Programme: Religion IV - ISSP 2018;https://doi.org/10.4232/1.13629;ZA7570;0;0;0;1;1;True;doi;title_exact
V1;1;V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;chat-latest;10;ZA7500;International Social Survey Programme: Work Orientations I-IV Cumulation;https://doi.org/10.4232/1.14391;ZA8797;0;0;0;0;0;True;doi;title_exact
