variant_short;query_id;query_variant;source_dataset_id;source_title;query_text;abstract_generated_query;full_prompt_web_search
V1;1;V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;ZA7500;European Values Study 2017: Integrated Dataset (EVS 2017);Can you find datasets about LABOUR AND EMPLOYMENT, Cultural and national identity, Religion and values, Family life and marriage, Political behaviour and attitudes, Gender and gender roles, and Environment and conservation in Albania, Armenia, Austria, Azerbaijan, Belarus, Bosnia and Herzegovina, Bulgaria, Croatia, Czech Republic, Denmark, Estonia, Finland, France, Georgia, Germany, Great Britain, Hungary, Iceland, Italy, Lithuania, Montenegro, Netherlands, North Macedonia, Norway, Poland, Romania, Russian Federation, Serbia, Slovakia, Slovenia, Sweden, Spain, Switzerland, Portugal, Ukraine, and Latvia during the 2010s and 2020s?;;"SYSTEM: Use web search to find relevant datasets. Only include landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find datasets about LABOUR AND EMPLOYMENT, Cultural and national identity, Religion and values, Family life and marriage, Political behaviour and attitudes, Gender and gender roles, and Environment and conservation in Albania, Armenia, Austria, Azerbaijan, Belarus, Bosnia and Herzegovina, Bulgaria, Croatia, Czech Republic, Denmark, Estonia, Finland, France, Georgia, Germany, Great Britain, Hungary, Iceland, Italy, Lithuania, Montenegro, Netherlands, North Macedonia, Norway, Poland, Romania, Russian Federation, Serbia, Slovakia, Slovenia, Sweden, Spain, Switzerland, Portugal, Ukraine, and Latvia during the 2010s and 2020s?
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi."
V1;2;V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;ZA9144;Eurobarometer 105.2 (2026);Can you find datasets about Cultural and national identity, POLITICS, International politics and organisations, Political behaviour and attitudes, Government, political systems and organisations, Economic conditions and indicators, and Conflict, security and peace in Belgium, Bulgaria, Czech Republic, Denmark, Germany, Estonia, Ireland, Greece, Spain, France, Italy, Cyprus, Latvia, Lithuania, Luxembourg, Hungary, Malta, Netherlands, Austria, Poland, Portugal, Romania, Slovenia, Slovakia, Finland, Sweden, Croatia, Turkey, North Macedonia, Montenegro, Serbia, United Kingdom, Albania, Bosnia and Herzegovina, Kosovo-Metohija, Moldova, Republic of, and Georgia during the 2020s?;;"SYSTEM: Use web search to find relevant datasets. Only include landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find datasets about Cultural and national identity, POLITICS, International politics and organisations, Political behaviour and attitudes, Government, political systems and organisations, Economic conditions and indicators, and Conflict, security and peace in Belgium, Bulgaria, Czech Republic, Denmark, Germany, Estonia, Ireland, Greece, Spain, France, Italy, Cyprus, Latvia, Lithuania, Luxembourg, Hungary, Malta, Netherlands, Austria, Poland, Portugal, Romania, Slovenia, Slovakia, Finland, Sweden, Croatia, Turkey, North Macedonia, Montenegro, Serbia, United Kingdom, Albania, Bosnia and Herzegovina, Kosovo-Metohija, Moldova, Republic of, and Georgia during the 2020s?
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi."
V1;3;V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;ZA9151;Politbarometer 2025 (Cumulated Data Set);Can you find datasets about Elections, Government, political systems and organisations, and Political behaviour and attitudes in Germany during the 2020s?;;"SYSTEM: Use web search to find relevant datasets. Only include landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find datasets about Elections, Government, political systems and organisations, and Political behaviour and attitudes in Germany during the 2020s?
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi."
V1;4;V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;ZA9085;German Longitudinal Environmental Study (GLEN);Can you find datasets about NATURAL ENVIRONMENT, Environment and conservation, Information society, Media, Political behaviour and attitudes, Community, urban and rural life, Leisure, tourism and sport, Religion and values, PSYCHOLOGY, Social behaviour and attitudes, Social conditions and indicators, Consumption and consumer behaviour, and Employment in Germany during the 2020s?;;"SYSTEM: Use web search to find relevant datasets. Only include landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find datasets about NATURAL ENVIRONMENT, Environment and conservation, Information society, Media, Political behaviour and attitudes, Community, urban and rural life, Leisure, tourism and sport, Religion and values, PSYCHOLOGY, Social behaviour and attitudes, Social conditions and indicators, Consumption and consumer behaviour, and Employment in Germany during the 2020s?
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi."
V1;5;V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;ZA5665;GESIS Panel.pop Population Sample – Standard Edition;Can you find datasets about Social conditions and indicators, Information society, Media, Political behaviour and attitudes, Information technology, Government, political systems and organisations, Elections, Economic systems and development, SCIENCE AND TECHNOLOGY, Equality, inequality and social exclusion, PSYCHOLOGY, SOCIAL STRATIFICATION AND GROUPINGS, General health and well-being, Family life and marriage, TRANSPORT AND TRAVEL, NATURAL ENVIRONMENT, LABOUR AND EMPLOYMENT, Working conditions, Leisure, tourism and sport, Income, property and investment/saving, Consumption and consumer behaviour, Energy and natural resources, Specific diseases, disorders and medical conditions, Economic policy, public expenditure and revenue, Environment and conservation, Migration, Economic conditions and indicators, Wounds and injuries, International politics and organisations, Health care services and policies, Gender and gender roles, Physical fitness and exercise, and LAW, CRIME AND LEGAL SYSTEMS in Germany during the 2010s and 2020s?;;"SYSTEM: Use web search to find relevant datasets. Only include landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find datasets about Social conditions and indicators, Information society, Media, Political behaviour and attitudes, Information technology, Government, political systems and organisations, Elections, Economic systems and development, SCIENCE AND TECHNOLOGY, Equality, inequality and social exclusion, PSYCHOLOGY, SOCIAL STRATIFICATION AND GROUPINGS, General health and well-being, Family life and marriage, TRANSPORT AND TRAVEL, NATURAL ENVIRONMENT, LABOUR AND EMPLOYMENT, Working conditions, Leisure, tourism and sport, Income, property and investment/saving, Consumption and consumer behaviour, Energy and natural resources, Specific diseases, disorders and medical conditions, Economic policy, public expenditure and revenue, Environment and conservation, Migration, Economic conditions and indicators, Wounds and injuries, International politics and organisations, Health care services and policies, Gender and gender roles, Physical fitness and exercise, and LAW, CRIME AND LEGAL SYSTEMS in Germany during the 2010s and 2020s?
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi."
V1;6;V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;SDN-10.7802-2863;News on TikTok: An Annotated Dataset of TikTok Videos from German-Speaking News Outlets in 2023;Can you find datasets about journalism, journalist, social media, news, and news value theory in Germany during the 2020s?;;"SYSTEM: Use web search to find relevant datasets. Only include landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find datasets about journalism, journalist, social media, news, and news value theory in Germany during the 2020s?
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi."
V2;1;V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC;ZA7500;European Values Study 2017: Integrated Dataset (EVS 2017);Can you find datasets about LABOUR AND EMPLOYMENT in Albania, Armenia, Austria, Azerbaijan, Belarus, Bosnia and Herzegovina, Bulgaria, Croatia, Czech Republic, Denmark, Estonia, Finland, France, Georgia, Germany, Great Britain, Hungary, Iceland, Italy, Lithuania, Montenegro, Netherlands, North Macedonia, Norway, Poland, Romania, Russian Federation, Serbia, Slovakia, Slovenia, Sweden, Spain, Switzerland, Portugal, Ukraine, and Latvia during the 2010s and 2020s?;;"SYSTEM: Use web search to find relevant datasets. Only include landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find datasets about LABOUR AND EMPLOYMENT in Albania, Armenia, Austria, Azerbaijan, Belarus, Bosnia and Herzegovina, Bulgaria, Croatia, Czech Republic, Denmark, Estonia, Finland, France, Georgia, Germany, Great Britain, Hungary, Iceland, Italy, Lithuania, Montenegro, Netherlands, North Macedonia, Norway, Poland, Romania, Russian Federation, Serbia, Slovakia, Slovenia, Sweden, Spain, Switzerland, Portugal, Ukraine, and Latvia during the 2010s and 2020s?
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi."
V2;2;V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC;ZA7500;European Values Study 2017: Integrated Dataset (EVS 2017);Can you find datasets about Cultural and national identity in Albania, Armenia, Austria, Azerbaijan, Belarus, Bosnia and Herzegovina, Bulgaria, Croatia, Czech Republic, Denmark, Estonia, Finland, France, Georgia, Germany, Great Britain, Hungary, Iceland, Italy, Lithuania, Montenegro, Netherlands, North Macedonia, Norway, Poland, Romania, Russian Federation, Serbia, Slovakia, Slovenia, Sweden, Spain, Switzerland, Portugal, Ukraine, and Latvia during the 2010s and 2020s?;;"SYSTEM: Use web search to find relevant datasets. Only include landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find datasets about Cultural and national identity in Albania, Armenia, Austria, Azerbaijan, Belarus, Bosnia and Herzegovina, Bulgaria, Croatia, Czech Republic, Denmark, Estonia, Finland, France, Georgia, Germany, Great Britain, Hungary, Iceland, Italy, Lithuania, Montenegro, Netherlands, North Macedonia, Norway, Poland, Romania, Russian Federation, Serbia, Slovakia, Slovenia, Sweden, Spain, Switzerland, Portugal, Ukraine, and Latvia during the 2010s and 2020s?
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi."
V2;3;V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC;ZA7500;European Values Study 2017: Integrated Dataset (EVS 2017);Can you find datasets about Religion and values in Albania, Armenia, Austria, Azerbaijan, Belarus, Bosnia and Herzegovina, Bulgaria, Croatia, Czech Republic, Denmark, Estonia, Finland, France, Georgia, Germany, Great Britain, Hungary, Iceland, Italy, Lithuania, Montenegro, Netherlands, North Macedonia, Norway, Poland, Romania, Russian Federation, Serbia, Slovakia, Slovenia, Sweden, Spain, Switzerland, Portugal, Ukraine, and Latvia during the 2010s and 2020s?;;"SYSTEM: Use web search to find relevant datasets. Only include landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find datasets about Religion and values in Albania, Armenia, Austria, Azerbaijan, Belarus, Bosnia and Herzegovina, Bulgaria, Croatia, Czech Republic, Denmark, Estonia, Finland, France, Georgia, Germany, Great Britain, Hungary, Iceland, Italy, Lithuania, Montenegro, Netherlands, North Macedonia, Norway, Poland, Romania, Russian Federation, Serbia, Slovakia, Slovenia, Sweden, Spain, Switzerland, Portugal, Ukraine, and Latvia during the 2010s and 2020s?
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi."
V2;4;V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC;ZA7500;European Values Study 2017: Integrated Dataset (EVS 2017);Can you find datasets about Family life and marriage in Albania, Armenia, Austria, Azerbaijan, Belarus, Bosnia and Herzegovina, Bulgaria, Croatia, Czech Republic, Denmark, Estonia, Finland, France, Georgia, Germany, Great Britain, Hungary, Iceland, Italy, Lithuania, Montenegro, Netherlands, North Macedonia, Norway, Poland, Romania, Russian Federation, Serbia, Slovakia, Slovenia, Sweden, Spain, Switzerland, Portugal, Ukraine, and Latvia during the 2010s and 2020s?;;"SYSTEM: Use web search to find relevant datasets. Only include landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find datasets about Family life and marriage in Albania, Armenia, Austria, Azerbaijan, Belarus, Bosnia and Herzegovina, Bulgaria, Croatia, Czech Republic, Denmark, Estonia, Finland, France, Georgia, Germany, Great Britain, Hungary, Iceland, Italy, Lithuania, Montenegro, Netherlands, North Macedonia, Norway, Poland, Romania, Russian Federation, Serbia, Slovakia, Slovenia, Sweden, Spain, Switzerland, Portugal, Ukraine, and Latvia during the 2010s and 2020s?
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi."
