query_variant;mode;model;response_status;count
V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;NO_WEB;gemma3:27b;items;85
V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;NO_WEB;gpt-4.1;items;84
V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;NO_WEB;llama4:latest;items;81
V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;NO_WEB;o4-mini;items;63
V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;NO_WEB;gpt-5;items;38
V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;NO_WEB;gpt-5-mini;zero_items;61
V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;NO_WEB;gpt-5.1;zero_items;58
V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;NO_WEB;gpt-oss:latest;items;33
V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;gemma3:27b;items;85
V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;gpt-4.1;items;85
V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;llama4:latest;items;84
V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;o4-mini;items;64
V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;gpt-5;items;17
V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;gpt-5-mini;items;73
V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;gpt-5.1;items;77
V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;NO_WEB;o4-mini;zero_items;22
V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;NO_WEB;gpt-5;zero_items;47
V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;NO_WEB;gpt-oss:latest;zero_items;24
V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;gpt-5;zero_items;68
V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;NO_WEB;gpt-5.1;items;27
V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;NO_WEB;gpt-oss:latest;tool_calls_only;28
V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;o4-mini;zero_items;21
V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;gpt-5-mini;zero_items;12
V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;NO_WEB;gpt-5-mini;items;24
V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;NO_WEB;llama4:latest;zero_items;4
V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;gpt-5.1;tool_calls_only;5
V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;NO_WEB;gpt-4.1;zero_items;1
V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;llama4:latest;zero_items;1
V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;gpt-5.1;zero_items;3
