query_variant;mode;model;requests;responses_with_items;coverage_rate;hit_at_k_all_queries;mrr_all_queries;ndcg_at_k_all_queries;recall_at_k_all_queries;precision_at_k_all_queries;exact_hit_at_k_all_queries;fuzzy_hit_at_k_all_queries
V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;NO_WEB;gemma3:27b;85;85;1.0;0.011764705882352941;0.011764705882352941;0.011764705882352941;0.011764705882352941;0.0011764705882352942;0.011764705882352941;0.0
V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;NO_WEB;gpt-4.1;85;84;0.9882352941176471;0.0;0.0;0.0;0.0;0.0;0.0;0.0
V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;NO_WEB;llama4:latest;85;81;0.9529411764705882;0.023529411764705882;0.01764705882352941;0.019187408865546558;0.023529411764705882;0.0023529411764705885;0.0;0.023529411764705882
V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;NO_WEB;o4-mini;85;63;0.7411764705882353;0.0;0.0;0.0;0.0;0.0;0.0;0.0
V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;NO_WEB;gpt-5;85;38;0.4470588235294118;0.0;0.0;0.0;0.0;0.0;0.0;0.0
V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;NO_WEB;gpt-5-mini;85;24;0.2823529411764706;0.0;0.0;0.0;0.0;0.0;0.0;0.0
V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;NO_WEB;gpt-5.1;85;27;0.3176470588235294;0.0;0.0;0.0;0.0;0.0;0.0;0.0
V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;NO_WEB;gpt-oss:latest;85;33;0.38823529411764707;0.0;0.0;0.0;0.0;0.0;0.0;0.0
V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;gemma3:27b;85;85;1.0;0.011764705882352941;0.0058823529411764705;0.007422702983193618;0.011764705882352941;0.0011764705882352942;0.0;0.011764705882352941
V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;gpt-4.1;85;85;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;llama4:latest;85;84;0.9882352941176471;0.047058823529411764;0.02980392156862745;0.033962974202759316;0.047058823529411764;0.004705882352941177;0.011764705882352941;0.03529411764705882
V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;o4-mini;85;64;0.7529411764705882;0.011764705882352941;0.0058823529411764705;0.007422702983193618;0.011764705882352941;0.0011764705882352942;0.0;0.011764705882352941
V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;gpt-5;85;17;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0
V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;gpt-5-mini;85;73;0.8588235294117647;0.011764705882352941;0.011764705882352941;0.011764705882352941;0.011764705882352941;0.0011764705882352942;0.0;0.011764705882352941
V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;gpt-5.1;85;77;0.9058823529411765;0.023529411764705882;0.00403361344537815;0.00847277812432794;0.023529411764705882;0.0023529411764705885;0.0;0.023529411764705882
