"query_id";"query_variant";"mode";"model";"rank";"returned_title";"returned_url_or_doi";"matched_dataset_id";"match_method";"link_valid";"source_dataset_id";"is_source_dataset";"is_strict_source_dataset";"is_title_source_dataset";"is_gesis_relevant_dataset";"is_strict_gesis_relevant_dataset";"is_title_gesis_relevant_dataset";"justification"
"1";"V1_TOPIC_COUNTRY_TIME_ALL_TOPICS";"WEB_SEARCH";"gemini-3.6-flash";"1";"Politbarometer 1977-2024 (Partielle Kumulation)";"https://doi.org/10.4232/1.14611";"ZA2391";"doi";"True";"ZA0840";"0";"0";"0";"0";"0";"0";"Provides monthly survey data collected starting in 1977 by Forschungsgruppe Wahlen on political attitudes, party preferences, voting behaviour, and government evaluations in West Germany."
"1";"V1_TOPIC_COUNTRY_TIME_ALL_TOPICS";"WEB_SEARCH";"gemini-3.6-flash";"2";"Eurobarometer 6 (Nov 1976)";"https://doi.org/10.4232/1.10859";"ZA0990";"doi";"True";"ZA0840";"0";"0";"0";"0";"0";"0";"Survey dataset conducted in late 1976 that captures political attitudes, perceptions of government institutions, and opinions on political/European integration among West German citizens."
"1";"V1_TOPIC_COUNTRY_TIME_ALL_TOPICS";"WEB_SEARCH";"gemini-3.6-flash";"3";"Die Situation der Studenten in der Bundesrepublik (1976)";"https://doi.org/10.4232/1.0820";"ZA0820";"doi";"True";"ZA0840";"0";"0";"0";"1";"1";"0";"Study by Max Kaase et al. examining political behavior, ideological attitudes, views on political systems, and student political activism in West Germany during 1975-1976."
"1";"V1_TOPIC_COUNTRY_TIME_ALL_TOPICS";"WEB_SEARCH";"gemini-3.6-flash";"4";"Bundestagswahl 1972 (1. und 2. Nachuntersuchung)";"https://doi.org/10.4232/1.0646";"ZA0646";"doi";"True";"ZA0840";"0";"0";"0";"1";"1";"0";"GESIS post-election survey dataset investigating voting decisions, political orientations, and party choices following the 1972 German federal election."
"2";"V1_TOPIC_COUNTRY_TIME_ALL_TOPICS";"WEB_SEARCH";"gemini-3.6-flash";"1";"Allgemeinbildende Schulen in der Bundesrepublik Deutschland 1949 – 2010 (ZA8570)";"https://doi.org/10.4232/1.12378";"ZA8570";"doi";"True";"ZA0529";"0";"0";"0";"0";"0";"0";"This GESIS dataset provides historical statistics on general education schools, compulsory schooling structures, and student enrollments across West German federal states, including Hesse, covering the 1960s."
"2";"V1_TOPIC_COUNTRY_TIME_ALL_TOPICS";"WEB_SEARCH";"gemini-3.6-flash";"2";"Bildungsentwicklung in Deutschland: Allgemeinbildende Schulen 1960 bis 2000 (ZA8220)";"https://doi.org/10.4232/1.8220";"ZA8220";"doi";"True";"ZA0529";"0";"0";"0";"0";"0";"0";"Available via GESIS HISTAT, this study contains time series data starting in 1960 on general education institutions, student populations, and school types in West Germany."
"2";"V1_TOPIC_COUNTRY_TIME_ALL_TOPICS";"WEB_SEARCH";"gemini-3.6-flash";"3";"Historisches Ortslexikon Hessen / Historisches Gemeindeverzeichnis für Hessen (1834–1967)";"https://www.lagis-hessen.de/de/subjects/index/sn/ol";"";"unmatched";"False";"ZA0529";"0";"0";"0";"0";"0";"0";"Maintained by the Landesgeschichtliches Informationssystem Hessen (LAGIS) based on data from the Hessisches Statistisches Landesamt, this dataset includes historical population and demographic figures for children and families across Hessian municipalities up to 1967."
"4";"V1_TOPIC_COUNTRY_TIME_ALL_TOPICS";"WEB_SEARCH";"gemini-3.6-flash";"1";"Berliner Wahlen von 1930-1963";"https://doi.org/10.4232/1.8081";"ZA8081";"doi";"True";"ZA0590";"0";"0";"0";"0";"0";"0";"This GESIS dataset (ZA8081) contains district-level electoral data and census indicators for Berlin, including West Berlin election results and socio-demographic data from 1950, 1954, and 1958, capturing political behavior, attitudes, and social conditions during the 1950s."
"4";"V1_TOPIC_COUNTRY_TIME_ALL_TOPICS";"WEB_SEARCH";"gemini-3.6-flash";"2";"Deutsche Jugend und Autorität (German Youth and Authority)";"https://doi.org/10.4232/1.0254";"ZA0254";"doi";"True";"ZA0590";"0";"0";"0";"0";"0";"0";"This GESIS survey dataset (ZA0254) collected between 1950 and 1951 examines post-war youth attitudes toward authority, career choices, education, family background, political interest, and socialization in Germany."
"4";"V1_TOPIC_COUNTRY_TIME_ALL_TOPICS";"WEB_SEARCH";"gemini-3.6-flash";"3";"Bruttoverdienste der Arbeiter und Angestellten in Industrie und Handel, Handwerk, Landwirtschaft, Dienstbezüge der Bundesbeamten sowie Realverdienste, Bundesrepublik Deutschland 1950 bis 2006";"https://doi.org/10.4232/1.13683";"ZA8618";"doi";"True";"ZA0590";"0";"0";"0";"0";"0";"0";"This historical economic compilation dataset from GESIS (ZA8618) tracks wage structures, gross earnings, and real income across various economic sectors starting in 1950, covering economic systems and development in post-WWII West Germany and Berlin."
