query_id;mode;query_text;verdict;openai_model;openai_hit_at_k;openai_strict_hit_at_k;openai_title_match_hit_at_k;openai_gesis_relevant_hit_at_k;openai_strict_gesis_relevant_hit_at_k;openai_source_hit_at_k;openai_strict_source_hit_at_k;openai_selected_title;openai_selected_url_or_doi;openai_selected_matched_dataset_id;openai_selected_match_method;openwebui_model;openwebui_hit_at_k;openwebui_strict_hit_at_k;openwebui_title_match_hit_at_k;openwebui_gesis_relevant_hit_at_k;openwebui_strict_gesis_relevant_hit_at_k;openwebui_source_hit_at_k;openwebui_strict_source_hit_at_k;openwebui_selected_title;openwebui_selected_url_or_doi;openwebui_selected_matched_dataset_id;openwebui_selected_match_method
1;WEB_SEARCH;Can you find datasets about Political behaviour and attitudes, Government, political systems and organisations, and Elections in Germany during the 1970s?;openai_strict_gesis_only;chat-latest;1;1;1;1;1;0;0;;;;;gpt-5.4;0;0;0;0;0;0;0;;;;
2;WEB_SEARCH;Can you find datasets about Compulsory and pre-school education and Children in Hesse during the 1960s?;neither_strict_gesis;chat-latest;0;0;0;0;0;0;0;;;;;gpt-5.4;0;0;0;0;0;0;0;;;;
3;WEB_SEARCH;Can you find datasets about HISTORY in Germany, England, Sweden, and United States of America during the 1950s and 1960s and 1970s and 1980s and 1990s and 2000s?;neither_strict_gesis;chat-latest;0;0;0;0;0;0;0;;;;;gpt-5.4;0;0;0;0;0;0;0;;;;
4;WEB_SEARCH;Can you find datasets about Social conditions and indicators, Political behaviour and attitudes, Youth, and Economic systems and development in Berlin during the 1950s?;neither_strict_gesis;chat-latest;0;0;0;0;0;0;0;;;;;gpt-5.4;0;0;0;0;0;0;0;;;;
5;WEB_SEARCH;Can you find datasets about Media, POLITICS, Political behaviour and attitudes, and Government, political systems and organisations in Germany during the 2010s?;openai_strict_gesis_only;chat-latest;1;1;1;1;1;0;0;;;;;gpt-5.4;1;0;1;1;0;0;0;;;;
6;WEB_SEARCH;Can you find datasets about Media in German Democratic Republic (1949-1990) during the 1980s?;neither_strict_gesis;chat-latest;0;0;0;0;0;0;0;;;;;gpt-5.4;0;0;0;0;0;0;0;;;;
7;WEB_SEARCH;Can you find datasets about Working conditions and Occupational health in Belgium, Denmark, Germany, Greece, Spain, Finland, France, Ireland, Italy, Luxembourg, Netherlands, Austria, Portugal, Sweden, United Kingdom, Bulgaria, Cyprus, Czech Republic, Estonia, Hungary, Latvia, Lithuania, Malta, Poland, Romania, Slovakia, Slovenia, Turkey, Croatia, Switzerland, Norway, Albania, Iceland, Montenegro, North Macedonia, and Serbia during the 2010s?;neither_strict_gesis;chat-latest;0;0;0;0;0;0;0;;;;;gpt-5.4;0;0;0;0;0;0;0;;;;
8;WEB_SEARCH;Can you find datasets about Reproductive health in Germany during the 1970s?;neither_strict_gesis;chat-latest;0;0;0;0;0;0;0;;;;;gpt-5.4;0;0;0;0;0;0;0;;;;
9;WEB_SEARCH;Can you find datasets about Employment, Leisure, tourism and sport, Reproductive health, Specific diseases, disorders and medical conditions, Family life and marriage, and Gender and gender roles in German Democratic Republic (1949-1990) during the 1980s?;neither_strict_gesis;chat-latest;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
10;WEB_SEARCH;Can you find datasets about Reproductive health, Specific diseases, disorders and medical conditions, and Family life and marriage in Germany during the 1980s?;openai_strict_gesis_only;chat-latest;1;1;1;1;1;1;1;;;;;gpt-5.4;1;0;1;1;0;0;0;;;;
