query_variant;mode;model;response_status;count
V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC;NO_WEB;gemma3:27b;items;250
V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC;NO_WEB;gpt-4.1;items;250
V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC;NO_WEB;llama4:latest;items;236
V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC;NO_WEB;o4-mini;items;171
V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC;NO_WEB;gpt-5;items;93
V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC;NO_WEB;gpt-5-mini;zero_items;189
V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC;NO_WEB;gpt-5.1;items;117
V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC;NO_WEB;gpt-oss:latest;items;102
V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC;WEB_SEARCH;gemma3:27b;items;250
V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC;WEB_SEARCH;gpt-4.1;items;250
V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC;WEB_SEARCH;llama4:latest;items;242
V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC;WEB_SEARCH;o4-mini;items;190
V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC;WEB_SEARCH;gpt-5;items;39
V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC;WEB_SEARCH;gpt-5-mini;items;206
V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC;WEB_SEARCH;gpt-5.1;items;239
V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC;NO_WEB;gpt-5;zero_items;157
V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC;NO_WEB;gpt-5-mini;items;61
V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC;WEB_SEARCH;gpt-5;zero_items;211
V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC;NO_WEB;o4-mini;zero_items;79
V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC;NO_WEB;gpt-oss:latest;tool_calls_only;83
V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC;NO_WEB;gpt-5.1;zero_items;133
V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC;WEB_SEARCH;o4-mini;zero_items;60
V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC;WEB_SEARCH;gpt-5-mini;zero_items;44
V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC;WEB_SEARCH;gpt-5.1;zero_items;11
V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC;NO_WEB;llama4:latest;zero_items;14
V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC;NO_WEB;gpt-oss:latest;zero_items;65
V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC;WEB_SEARCH;llama4:latest;zero_items;8
