query_variant;mode;model;requests;responses_with_items;coverage_rate;hit_at_k_all_queries;mrr_all_queries;ndcg_at_k_all_queries;recall_at_k_all_queries;precision_at_k_all_queries;exact_hit_at_k_all_queries;fuzzy_hit_at_k_all_queries
V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC;NO_WEB;gemma3:27b;250;250;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC;NO_WEB;gpt-4.1;250;250;1.0;0.008;0.002444444444444445;0.003727838996941755;0.008;0.0008;0.008;0.0
V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC;NO_WEB;llama4:latest;250;236;0.944;0.016;0.008333333333333331;0.010246425246579403;0.016;0.0016;0.0;0.016
V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC;NO_WEB;o4-mini;250;171;0.684;0.0;0.0;0.0;0.0;0.0;0.0;0.0
V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC;NO_WEB;gpt-5;250;93;0.372;0.004;0.004;0.004;0.004;0.0004;0.0;0.004
V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC;NO_WEB;gpt-5-mini;250;61;0.244;0.0;0.0;0.0;0.0;0.0;0.0;0.0
V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC;NO_WEB;gpt-5.1;250;117;0.468;0.012;0.002371428571428571;0.004603450794565072;0.012;0.0012000000000000001;0.008;0.004
V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC;NO_WEB;gpt-oss:latest;250;102;0.408;0.004;0.0005714285714285711;0.0013333333333333333;0.004;0.0004;0.0;0.004
V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC;WEB_SEARCH;gemma3:27b;250;250;1.0;0.004;0.002;0.00252371901428583;0.004;0.0004;0.0;0.004
V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC;WEB_SEARCH;gpt-4.1;250;250;1.0;0.02;0.004476190476190476;0.008091495415098755;0.02;0.002;0.016;0.004
V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC;WEB_SEARCH;llama4:latest;250;242;0.968;0.02;0.005911111111111112;0.009275250225879921;0.02;0.002;0.004;0.016
V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC;WEB_SEARCH;o4-mini;250;190;0.76;0.012;0.002833333333333333;0.004984565739436487;0.012;0.0012000000000000001;0.0;0.012
V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC;WEB_SEARCH;gpt-5;250;39;0.156;0.004;0.0006666666666666664;0.0014248287484320888;0.004;0.0004;0.0;0.004
V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC;WEB_SEARCH;gpt-5-mini;250;206;0.824;0.004;0.0013333333333333333;0.002;0.004;0.0004;0.0;0.004
V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC;WEB_SEARCH;gpt-5.1;250;239;0.956;0.02;0.00671111111111111;0.009723771188964345;0.02;0.002;0.008;0.012
