"query_id";"query_text";"full_prompt_no_web";"full_prompt_web_search";"query_variant";"query_topics";"query_countries";"query_time_collection_years";"query_time_display";"source_dataset_id";"source_title";"source_doi";"source_portal_url";"source_row"
"1";"Can you find the GESIS dataset titled Federal Parliament Election 1972 (Panel: 2nd Wave, October 1971 - January 1972)?";"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets hosted by GESIS. Do not invent links; if unsure, omit the item.

USER: Query: Can you find the GESIS dataset titled Federal Parliament Election 1972 (Panel: 2nd Wave, October 1971 - January 1972)?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets hosted by GESIS. Only include GESIS-hosted landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find the GESIS dataset titled Federal Parliament Election 1972 (Panel: 2nd Wave, October 1971 - January 1972)?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";"V3_TITLE_ONLY";"";"";"";"";"ZA0840";"Federal Parliament Election 1972 (Panel: 2nd Wave, October 1971 - January 1972)";"[""10.4232/1.0840""]";"https://dbk.gesis.org/dbksearch/SDESC2.asp?no=0840&db=D";"2"
"2";"Can you find the GESIS dataset titled Political Socialization in Pre-School Age?";"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets hosted by GESIS. Do not invent links; if unsure, omit the item.

USER: Query: Can you find the GESIS dataset titled Political Socialization in Pre-School Age?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets hosted by GESIS. Only include GESIS-hosted landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find the GESIS dataset titled Political Socialization in Pre-School Age?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";"V3_TITLE_ONLY";"";"";"";"";"ZA0529";"Political Socialization in Pre-School Age";"[""10.4232/1.0529""]";"https://dbk.gesis.org/dbksearch/SDESC2.asp?no=0529&db=D";"3"
"3";"Can you find the GESIS dataset titled Social Change and Violent Crime?";"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets hosted by GESIS. Do not invent links; if unsure, omit the item.

USER: Query: Can you find the GESIS dataset titled Social Change and Violent Crime?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets hosted by GESIS. Only include GESIS-hosted landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find the GESIS dataset titled Social Change and Violent Crime?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";"V3_TITLE_ONLY";"";"";"";"";"ZA8194";"Social Change and Violent Crime";"[""10.4232/1.8194""]";"https://dbk.gesis.org/dbksearch/SDESC2.asp?no=8194&db=D";"4"
"4";"Can you find the GESIS dataset titled Social Science Telephone Interviews among the General Public via the Mobile Phone Net (CELLA 1)?";"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets hosted by GESIS. Do not invent links; if unsure, omit the item.

USER: Query: Can you find the GESIS dataset titled Social Science Telephone Interviews among the General Public via the Mobile Phone Net (CELLA 1)?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets hosted by GESIS. Only include GESIS-hosted landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find the GESIS dataset titled Social Science Telephone Interviews among the General Public via the Mobile Phone Net (CELLA 1)?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";"V3_TITLE_ONLY";"";"";"";"";"ZA4875";"Social Science Telephone Interviews among the General Public via the Mobile Phone Net (CELLA 1)";"[""10.4232/1.4875""]";"https://dbk.gesis.org/dbksearch/SDESC2.asp?no=4875&db=D";"5"
"5";"Can you find the GESIS dataset titled Political Situation in West Berlin (Young People from the GDR)?";"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets hosted by GESIS. Do not invent links; if unsure, omit the item.

USER: Query: Can you find the GESIS dataset titled Political Situation in West Berlin (Young People from the GDR)?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets hosted by GESIS. Only include GESIS-hosted landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find the GESIS dataset titled Political Situation in West Berlin (Young People from the GDR)?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";"V3_TITLE_ONLY";"";"";"";"";"ZA0590";"Political Situation in West Berlin (Young People from the GDR)";"[""10.4232/1.0590""]";"https://dbk.gesis.org/dbksearch/SDESC2.asp?no=0590&db=D";"6"
"6";"Can you find the GESIS dataset titled General Public?s Trust in Politics?";"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets hosted by GESIS. Do not invent links; if unsure, omit the item.

USER: Query: Can you find the GESIS dataset titled General Public?s Trust in Politics?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets hosted by GESIS. Only include GESIS-hosted landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find the GESIS dataset titled General Public?s Trust in Politics?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";"V3_TITLE_ONLY";"";"";"";"";"ZA6621";"General Public?s Trust in Politics";"[""10.4232/1.12710""]";"https://dbk.gesis.org/dbksearch/SDESC2.asp?no=6621&db=D";"7"
"7";"Can you find the GESIS dataset titled Sofortresonanzen DDR Fernsehen 5. Woche 1988 (SFR 5/88)?";"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets hosted by GESIS. Do not invent links; if unsure, omit the item.

USER: Query: Can you find the GESIS dataset titled Sofortresonanzen DDR Fernsehen 5. Woche 1988 (SFR 5/88)?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets hosted by GESIS. Only include GESIS-hosted landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find the GESIS dataset titled Sofortresonanzen DDR Fernsehen 5. Woche 1988 (SFR 5/88)?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";"V3_TITLE_ONLY";"";"";"";"";"ZA7315";"Sofortresonanzen DDR Fernsehen 5. Woche 1988 (SFR 5/88)";"[""10.4232/1.10556""]";"https://dbk.gesis.org/dbksearch/SDESC2.asp?no=7315&db=D";"8"
"8";"Can you find the GESIS dataset titled Second European Survey of Enterprises on New and Emerging Risks 2014 (ESENER-2)?";"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets hosted by GESIS. Do not invent links; if unsure, omit the item.

USER: Query: Can you find the GESIS dataset titled Second European Survey of Enterprises on New and Emerging Risks 2014 (ESENER-2)?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets hosted by GESIS. Only include GESIS-hosted landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find the GESIS dataset titled Second European Survey of Enterprises on New and Emerging Risks 2014 (ESENER-2)?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";"V3_TITLE_ONLY";"";"";"";"";"ZA6865";"Second European Survey of Enterprises on New and Emerging Risks 2014 (ESENER-2)";"[""10.4232/1.12965""]";"https://dbk.gesis.org/dbksearch/SDESC2.asp?no=6865&db=D";"9"
"9";"Can you find the GESIS dataset titled Family Planning as Health Task?";"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets hosted by GESIS. Do not invent links; if unsure, omit the item.

USER: Query: Can you find the GESIS dataset titled Family Planning as Health Task?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets hosted by GESIS. Only include GESIS-hosted landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find the GESIS dataset titled Family Planning as Health Task?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";"V3_TITLE_ONLY";"";"";"";"";"ZA0682";"Family Planning as Health Task";"[""10.4232/1.12464"", ""10.4232/1.0682""]";"https://dbk.gesis.org/dbksearch/SDESC2.asp?no=0682&db=D";"10"
"10";"Can you find the GESIS dataset titled Partnership Conflicts and Psychosomatic Gynecological Illnesses 1988/89 (Additional Survey: Sterile Women)?";"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets hosted by GESIS. Do not invent links; if unsure, omit the item.

USER: Query: Can you find the GESIS dataset titled Partnership Conflicts and Psychosomatic Gynecological Illnesses 1988/89 (Additional Survey: Sterile Women)?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets hosted by GESIS. Only include GESIS-hosted landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find the GESIS dataset titled Partnership Conflicts and Psychosomatic Gynecological Illnesses 1988/89 (Additional Survey: Sterile Women)?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";"V3_TITLE_ONLY";"";"";"";"";"ZA6370";"Partnership Conflicts and Psychosomatic Gynecological Illnesses 1988/89 (Additional Survey: Sterile Women)";"[""10.4232/1.6370""]";"https://dbk.gesis.org/dbksearch/SDESC2.asp?no=6370&db=D";"11"
