query_variant;mode;model;response_status;count
V3_TITLE_ONLY;NO_WEB;gemma3:27b;items;100
V3_TITLE_ONLY;NO_WEB;gpt-4.1;items;100
V3_TITLE_ONLY;NO_WEB;llama4:latest;items;98
V3_TITLE_ONLY;NO_WEB;o4-mini;zero_items;79
V3_TITLE_ONLY;NO_WEB;gpt-5;zero_items;95
V3_TITLE_ONLY;NO_WEB;gpt-5-mini;zero_items;100
V3_TITLE_ONLY;NO_WEB;gpt-5.1;items;48
V3_TITLE_ONLY;NO_WEB;gpt-oss:latest;zero_items;25
V3_TITLE_ONLY;WEB_SEARCH;gemma3:27b;items;100
V3_TITLE_ONLY;WEB_SEARCH;gpt-4.1;items;100
V3_TITLE_ONLY;WEB_SEARCH;llama4:latest;items;99
V3_TITLE_ONLY;WEB_SEARCH;o4-mini;zero_items;33
V3_TITLE_ONLY;WEB_SEARCH;gpt-5;zero_items;88
V3_TITLE_ONLY;WEB_SEARCH;gpt-5-mini;items;85
V3_TITLE_ONLY;WEB_SEARCH;gpt-5.1;items;95
V3_TITLE_ONLY;WEB_SEARCH;o4-mini;items;67
V3_TITLE_ONLY;WEB_SEARCH;gpt-5;items;12
V3_TITLE_ONLY;NO_WEB;gpt-5.1;zero_items;52
V3_TITLE_ONLY;NO_WEB;o4-mini;items;21
V3_TITLE_ONLY;NO_WEB;gpt-oss:latest;tool_calls_only;56
V3_TITLE_ONLY;NO_WEB;gpt-oss:latest;items;19
V3_TITLE_ONLY;WEB_SEARCH;gpt-5.1;tool_calls_only;5
V3_TITLE_ONLY;WEB_SEARCH;gpt-5-mini;zero_items;15
V3_TITLE_ONLY;NO_WEB;llama4:latest;zero_items;2
V3_TITLE_ONLY;NO_WEB;gpt-5;items;5
V3_TITLE_ONLY;WEB_SEARCH;llama4:latest;zero_items;1
