query_variant;mode;model;requests;responses_with_items;coverage_rate;hit_at_k_all_queries;mrr_all_queries;ndcg_at_k_all_queries;recall_at_k_all_queries;precision_at_k_all_queries;exact_hit_at_k_all_queries;fuzzy_hit_at_k_all_queries
V3_TITLE_ONLY;NO_WEB;gemma3:27b;100;100;1.0;0.82;0.82;0.82;0.82;0.08200000000000002;0.65;0.17
V3_TITLE_ONLY;NO_WEB;gpt-4.1;100;100;1.0;0.34;0.34;0.34;0.34;0.034;0.31;0.03
V3_TITLE_ONLY;NO_WEB;llama4:latest;100;98;0.98;0.57;0.57;0.57;0.57;0.057;0.46;0.11
V3_TITLE_ONLY;NO_WEB;o4-mini;100;21;0.21;0.1;0.1;0.1;0.1;0.01;0.04;0.06
V3_TITLE_ONLY;NO_WEB;gpt-5;100;5;0.05;0.05;0.05;0.05;0.05;0.005;0.05;0.0
V3_TITLE_ONLY;NO_WEB;gpt-5-mini;100;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
V3_TITLE_ONLY;NO_WEB;gpt-5.1;100;48;0.48;0.19;0.19;0.19;0.19;0.019000000000000003;0.17;0.02
V3_TITLE_ONLY;NO_WEB;gpt-oss:latest;100;19;0.19;0.19;0.19;0.19;0.19;0.019000000000000003;0.18;0.01
V3_TITLE_ONLY;WEB_SEARCH;gemma3:27b;100;100;1.0;0.8;0.795;0.7963092975357146;0.8;0.08;0.57;0.23
V3_TITLE_ONLY;WEB_SEARCH;gpt-4.1;100;100;1.0;0.26;0.26;0.26;0.26;0.026000000000000002;0.24;0.02
V3_TITLE_ONLY;WEB_SEARCH;llama4:latest;100;99;0.99;0.49;0.485;0.48630929753571456;0.49;0.049;0.39;0.1
V3_TITLE_ONLY;WEB_SEARCH;o4-mini;100;67;0.67;0.33;0.32333333333333336;0.325;0.33;0.033;0.18;0.15
V3_TITLE_ONLY;WEB_SEARCH;gpt-5;100;12;0.12;0.11;0.11;0.11;0.11;0.011000000000000001;0.1;0.01
V3_TITLE_ONLY;WEB_SEARCH;gpt-5-mini;100;85;0.85;0.61;0.54;0.5583301655000041;0.61;0.061000000000000006;0.48;0.13
V3_TITLE_ONLY;WEB_SEARCH;gpt-5.1;100;95;0.95;0.31;0.31;0.31;0.31;0.031;0.2;0.11
