query_id;query_text;full_prompt_no_web;full_prompt_web_search;query_variant;query_topics;query_countries;query_time_collection_years;query_time_display;query_universe;query_analysis_units;source_dataset_id;source_title;source_doi;source_portal_url;source_row
1;Can you find GESIS datasets about Employment and Higher and further education in Bavaria during the 1970s, where the study population is Sample of graduates of the University and the Technical College in Munich, who completed their studies in 1972. and the unit of analysis is Individual?;"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets hosted by GESIS. Do not invent links; if unsure, omit the item.

USER: Query: Can you find GESIS datasets about Employment and Higher and further education in Bavaria during the 1970s, where the study population is Sample of graduates of the University and the Technical College in Munich, who completed their studies in 1972. and the unit of analysis is Individual?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets hosted by GESIS. Only include GESIS-hosted landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find GESIS datasets about Employment and Higher and further education in Bavaria during the 1970s, where the study population is Sample of graduates of the University and the Technical College in Munich, who completed their studies in 1972. and the unit of analysis is Individual?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";V4_TOPIC_COUNTRY_TIME_UNIVERSE_ANALYSIS_UNIT_ALL_TOPICS;"[""Employment"", ""Higher and further education""]";"[""Bavaria""]";"[""1975"", ""1975""]";1970s;"[""Sample of graduates of the University and the Technical College in Munich, who completed their studies in 1972.""]";"[""Individual""]";ZA1458;College Education and Profession;"[""10.4232/1.1458""]";https://dbk.gesis.org/dbksearch/SDESC2.asp?no=1458&db=D;15
2;Can you find GESIS datasets about Youth, EDUCATION, Higher and further education, Migration, Social behaviour and attitudes, Leisure, tourism and sport, Children, and Family life and marriage in Germany during the 2010s, where the study population is Jugendliche an Förderschulen der emotionalen und sozialen Entwicklung and the unit of analysis is Individual?;"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets hosted by GESIS. Do not invent links; if unsure, omit the item.

USER: Query: Can you find GESIS datasets about Youth, EDUCATION, Higher and further education, Migration, Social behaviour and attitudes, Leisure, tourism and sport, Children, and Family life and marriage in Germany during the 2010s, where the study population is Jugendliche an Förderschulen der emotionalen und sozialen Entwicklung and the unit of analysis is Individual?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets hosted by GESIS. Only include GESIS-hosted landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find GESIS datasets about Youth, EDUCATION, Higher and further education, Migration, Social behaviour and attitudes, Leisure, tourism and sport, Children, and Family life and marriage in Germany during the 2010s, where the study population is Jugendliche an Förderschulen der emotionalen und sozialen Entwicklung and the unit of analysis is Individual?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";V4_TOPIC_COUNTRY_TIME_UNIVERSE_ANALYSIS_UNIT_ALL_TOPICS;"[""Youth"", ""EDUCATION"", ""Higher and further education"", ""Migration"", ""Social behaviour and attitudes"", ""Leisure, tourism and sport"", ""Children"", ""Family life and marriage""]";"[""Germany""]";"[""2017"", ""2019""]";2010s;"[""Jugendliche an Förderschulen der emotionalen und sozialen Entwicklung""]";"[""Individual""]";ZA6262;Future Plans of Young People at Special Schools of Emotional and Social Development;"[""10.4232/1.13487""]";https://dbk.gesis.org/dbksearch/SDESC2.asp?no=6262&db=D;17
3;Can you find GESIS datasets about Specific diseases, disorders and medical conditions, MEDIA, COMMUNICATION AND LANGUAGE, Working conditions, and Health care services and policies in Germany during the 2020s, where the study population is German-speaking resident population aged 14 and over and the unit of analysis is Individual?;"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets hosted by GESIS. Do not invent links; if unsure, omit the item.

USER: Query: Can you find GESIS datasets about Specific diseases, disorders and medical conditions, MEDIA, COMMUNICATION AND LANGUAGE, Working conditions, and Health care services and policies in Germany during the 2020s, where the study population is German-speaking resident population aged 14 and over and the unit of analysis is Individual?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets hosted by GESIS. Only include GESIS-hosted landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find GESIS datasets about Specific diseases, disorders and medical conditions, MEDIA, COMMUNICATION AND LANGUAGE, Working conditions, and Health care services and policies in Germany during the 2020s, where the study population is German-speaking resident population aged 14 and over and the unit of analysis is Individual?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";V4_TOPIC_COUNTRY_TIME_UNIVERSE_ANALYSIS_UNIT_ALL_TOPICS;"[""Specific diseases, disorders and medical conditions"", ""MEDIA, COMMUNICATION AND LANGUAGE"", ""Working conditions"", ""Health care services and policies""]";"[""Germany""]";"[""2020"", ""2020""]";2020s;"[""German-speaking resident population aged 14 and over""]";"[""Individual""]";ZA7652;Trend Questions Corona (Week 13/2020);"[""10.4232/1.13581""]";https://dbk.gesis.org/dbksearch/SDESC2.asp?no=7652&db=D;30
4;Can you find GESIS datasets about Migration, Physical fitness and exercise, Specific diseases, disorders and medical conditions, Government, political systems and organisations, Political behaviour and attitudes, Social welfare policy, Specific social services: use and availability, and Employment in Germany during the 2020s, where the study population is Persons between 16 and 75 years of age who lived in private households at the time of recruitment. and the unit of analysis is Individual?;"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets hosted by GESIS. Do not invent links; if unsure, omit the item.

USER: Query: Can you find GESIS datasets about Migration, Physical fitness and exercise, Specific diseases, disorders and medical conditions, Government, political systems and organisations, Political behaviour and attitudes, Social welfare policy, Specific social services: use and availability, and Employment in Germany during the 2020s, where the study population is Persons between 16 and 75 years of age who lived in private households at the time of recruitment. and the unit of analysis is Individual?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets hosted by GESIS. Only include GESIS-hosted landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find GESIS datasets about Migration, Physical fitness and exercise, Specific diseases, disorders and medical conditions, Government, political systems and organisations, Political behaviour and attitudes, Social welfare policy, Specific social services: use and availability, and Employment in Germany during the 2020s, where the study population is Persons between 16 and 75 years of age who lived in private households at the time of recruitment. and the unit of analysis is Individual?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";V4_TOPIC_COUNTRY_TIME_UNIVERSE_ANALYSIS_UNIT_ALL_TOPICS;"[""Migration"", ""Physical fitness and exercise"", ""Specific diseases, disorders and medical conditions"", ""Government, political systems and organisations"", ""Political behaviour and attitudes"", ""Social welfare policy"", ""Specific social services: use and availability"", ""Employment""]";"[""Germany""]";"[""2021"", ""2021""]";2020s;"[""Persons between 16 and 75 years of age who lived in private households at the time of recruitment.""]";"[""Individual""]";ZA7759;German Internet Panel, Wave 51 (January 2021);"[""10.4232/1.13833"", ""10.4232/1.13773""]";https://dbk.gesis.org/dbksearch/SDESC2.asp?no=7759&db=D;32
5;Can you find GESIS datasets about Political behaviour and attitudes, Government, political systems and organisations, Elections, and Economic systems and development in Germany during the 1990s, where the study population is German-speaking population aged 14 and over and the unit of analysis is Individual?;"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets hosted by GESIS. Do not invent links; if unsure, omit the item.

USER: Query: Can you find GESIS datasets about Political behaviour and attitudes, Government, political systems and organisations, Elections, and Economic systems and development in Germany during the 1990s, where the study population is German-speaking population aged 14 and over and the unit of analysis is Individual?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets hosted by GESIS. Only include GESIS-hosted landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find GESIS datasets about Political behaviour and attitudes, Government, political systems and organisations, Elections, and Economic systems and development in Germany during the 1990s, where the study population is German-speaking population aged 14 and over and the unit of analysis is Individual?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";V4_TOPIC_COUNTRY_TIME_UNIVERSE_ANALYSIS_UNIT_ALL_TOPICS;"[""Political behaviour and attitudes"", ""Government, political systems and organisations"", ""Elections"", ""Economic systems and development""]";"[""Germany""]";"[""1992"", ""1992""]";1990s;"[""German-speaking population aged 14 and over""]";"[""Individual""]";ZA3300;Forsa-Bus 1992;"[""10.4232/1.10247"", ""10.4232/1.3300""]";https://dbk.gesis.org/dbksearch/SDESC2.asp?no=3300&db=D;33
6;Can you find GESIS datasets about International politics and organisations, POLITICS, Conflict, security and peace, Political behaviour and attitudes, and Political ideology in Belgium, Bulgaria, Czech Republic, Denmark, Germany, Estonia, Ireland, Greece, Spain, France, Italy, Cyprus, Latvia, Lithuania, Luxembourg, Hungary, Malta, Netherlands, Austria, Poland, Portugal, Romania, Slovenia, Slovakia, Finland, Sweden, and Croatia during the 2020s, where the study population is Population of the respective nationalities of the European Union Member States and other EU nationals, resident in each of the 27 Member States and aged 15 years and over and the unit of analysis is Individual?;"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets hosted by GESIS. Do not invent links; if unsure, omit the item.

USER: Query: Can you find GESIS datasets about International politics and organisations, POLITICS, Conflict, security and peace, Political behaviour and attitudes, and Political ideology in Belgium, Bulgaria, Czech Republic, Denmark, Germany, Estonia, Ireland, Greece, Spain, France, Italy, Cyprus, Latvia, Lithuania, Luxembourg, Hungary, Malta, Netherlands, Austria, Poland, Portugal, Romania, Slovenia, Slovakia, Finland, Sweden, and Croatia during the 2020s, where the study population is Population of the respective nationalities of the European Union Member States and other EU nationals, resident in each of the 27 Member States and aged 15 years and over and the unit of analysis is Individual?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets hosted by GESIS. Only include GESIS-hosted landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find GESIS datasets about International politics and organisations, POLITICS, Conflict, security and peace, Political behaviour and attitudes, and Political ideology in Belgium, Bulgaria, Czech Republic, Denmark, Germany, Estonia, Ireland, Greece, Spain, France, Italy, Cyprus, Latvia, Lithuania, Luxembourg, Hungary, Malta, Netherlands, Austria, Poland, Portugal, Romania, Slovenia, Slovakia, Finland, Sweden, and Croatia during the 2020s, where the study population is Population of the respective nationalities of the European Union Member States and other EU nationals, resident in each of the 27 Member States and aged 15 years and over and the unit of analysis is Individual?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";V4_TOPIC_COUNTRY_TIME_UNIVERSE_ANALYSIS_UNIT_ALL_TOPICS;"[""International politics and organisations"", ""POLITICS"", ""Conflict, security and peace"", ""Political behaviour and attitudes"", ""Political ideology""]";"[""Belgium"", ""Bulgaria"", ""Czech Republic"", ""Denmark"", ""Germany"", ""Estonia"", ""Ireland"", ""Greece"", ""Spain"", ""France"", ""Italy"", ""Cyprus"", ""Latvia"", ""Lithuania"", ""Luxembourg"", ""Hungary"", ""Malta"", ""Netherlands"", ""Austria"", ""Poland"", ""Portugal"", ""Romania"", ""Slovenia"", ""Slovakia"", ""Finland"", ""Sweden"", ""Croatia""]";"[""2024"", ""2024""]";2020s;"[""Population of the respective nationalities of the European Union Member States and other EU nationals, resident in each of the 27 Member States and aged 15 years and over""]";"[""Individual""]";ZA8870;Flash Eurobarometer 550 (EU Challenges and Priorities);"[""10.4232/1.14410""]";https://dbk.gesis.org/dbksearch/SDESC2.asp?no=8870&db=D;34
7;Can you find GESIS datasets about Conflict, security and peace, International politics and organisations, and Political behaviour and attitudes in Germany during the 2020s, where the study population is Eligible voters in Germany and the unit of analysis is Individual?;"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets hosted by GESIS. Do not invent links; if unsure, omit the item.

USER: Query: Can you find GESIS datasets about Conflict, security and peace, International politics and organisations, and Political behaviour and attitudes in Germany during the 2020s, where the study population is Eligible voters in Germany and the unit of analysis is Individual?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets hosted by GESIS. Only include GESIS-hosted landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find GESIS datasets about Conflict, security and peace, International politics and organisations, and Political behaviour and attitudes in Germany during the 2020s, where the study population is Eligible voters in Germany and the unit of analysis is Individual?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";V4_TOPIC_COUNTRY_TIME_UNIVERSE_ANALYSIS_UNIT_ALL_TOPICS;"[""Conflict, security and peace"", ""International politics and organisations"", ""Political behaviour and attitudes""]";"[""Germany""]";"[""2024"", ""2024""]";2020s;"[""Eligible voters in Germany""]";"[""Individual""]";ZA8996;The Berlin Pulse - German Foreign Policy 2024;"[""10.4232/1.14624""]";https://dbk.gesis.org/dbksearch/SDESC2.asp?no=8996&db=D;37
8;Can you find GESIS datasets about Economic conditions and indicators, Economic policy, public expenditure and revenue, TRADE, INDUSTRY AND MARKETS, and Business/industrial management and organisation in Germany during the 2020s, where the study population is Decision-makers of legally independent private and public companies with economic activities in Germany and the unit of analysis is Organization/Institution?;"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets hosted by GESIS. Do not invent links; if unsure, omit the item.

USER: Query: Can you find GESIS datasets about Economic conditions and indicators, Economic policy, public expenditure and revenue, TRADE, INDUSTRY AND MARKETS, and Business/industrial management and organisation in Germany during the 2020s, where the study population is Decision-makers of legally independent private and public companies with economic activities in Germany and the unit of analysis is Organization/Institution?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets hosted by GESIS. Only include GESIS-hosted landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find GESIS datasets about Economic conditions and indicators, Economic policy, public expenditure and revenue, TRADE, INDUSTRY AND MARKETS, and Business/industrial management and organisation in Germany during the 2020s, where the study population is Decision-makers of legally independent private and public companies with economic activities in Germany and the unit of analysis is Organization/Institution?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";V4_TOPIC_COUNTRY_TIME_UNIVERSE_ANALYSIS_UNIT_ALL_TOPICS;"[""Economic conditions and indicators"", ""Economic policy, public expenditure and revenue"", ""TRADE, INDUSTRY AND MARKETS"", ""Business/industrial management and organisation""]";"[""Germany""]";"[""2020"", ""2021""]";2020s;"[""Decision-makers of legally independent private and public companies with economic activities in Germany""]";"[""Organization/Institution""]";ZA7746;German Business Panel, Covid-19 Survey (2020/2021). Data file for on-site use;"[""10.4232/1.13731""]";https://dbk.gesis.org/dbksearch/SDESC2.asp?no=7746&db=D;39
9;Can you find GESIS datasets about Economic conditions and indicators, Information society, Political behaviour and attitudes, Government, political systems and organisations, Equality, inequality and social exclusion, Cultural and national identity, Social behaviour and attitudes, and Religion and values in Germany during the 2010s, where the study population is All residents (German and non-German) living in private households in the Federal Republic of Germany who were born before 1 January 2000. and the unit of analysis is Individual?;"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets hosted by GESIS. Do not invent links; if unsure, omit the item.

USER: Query: Can you find GESIS datasets about Economic conditions and indicators, Information society, Political behaviour and attitudes, Government, political systems and organisations, Equality, inequality and social exclusion, Cultural and national identity, Social behaviour and attitudes, and Religion and values in Germany during the 2010s, where the study population is All residents (German and non-German) living in private households in the Federal Republic of Germany who were born before 1 January 2000. and the unit of analysis is Individual?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets hosted by GESIS. Only include GESIS-hosted landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find GESIS datasets about Economic conditions and indicators, Information society, Political behaviour and attitudes, Government, political systems and organisations, Equality, inequality and social exclusion, Cultural and national identity, Social behaviour and attitudes, and Religion and values in Germany during the 2010s, where the study population is All residents (German and non-German) living in private households in the Federal Republic of Germany who were born before 1 January 2000. and the unit of analysis is Individual?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";V4_TOPIC_COUNTRY_TIME_UNIVERSE_ANALYSIS_UNIT_ALL_TOPICS;"[""Economic conditions and indicators"", ""Information society"", ""Political behaviour and attitudes"", ""Government, political systems and organisations"", ""Equality, inequality and social exclusion"", ""Cultural and national identity"", ""Social behaviour and attitudes"", ""Religion and values""]";"[""Germany""]";"[""2018"", ""2018""]";2010s;"[""All residents (German and non-German) living in private households in the Federal Republic of Germany who were born before 1 January 2000.""]";"[""Individual""]";ZA5273;German General Social Survey - ALLBUScompact 2018;"[""10.4232/1.13331""]";https://dbk.gesis.org/dbksearch/SDESC2.asp?no=5273&db=D;42
10;Can you find GESIS datasets about Social behaviour and attitudes, Crime and law enforcement, International politics and organisations, Conflict, security and peace, Political behaviour and attitudes, Government, political systems and organisations, Elections, Economic conditions and indicators, Economic policy, public expenditure and revenue, and Economic systems and development in Berlin, Baden-Württemberg, Bavaria, Bremen, Hesse, Hamburg, Lower Saxony, North Rhine-Westphalia, Rhineland-Palatinate, Saarland, and Schleswig-Holstein during the 1990s, where the study population is Eligible voters living in private households with telephone and the unit of analysis is Individual?;"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets hosted by GESIS. Do not invent links; if unsure, omit the item.

USER: Query: Can you find GESIS datasets about Social behaviour and attitudes, Crime and law enforcement, International politics and organisations, Conflict, security and peace, Political behaviour and attitudes, Government, political systems and organisations, Elections, Economic conditions and indicators, Economic policy, public expenditure and revenue, and Economic systems and development in Berlin, Baden-Württemberg, Bavaria, Bremen, Hesse, Hamburg, Lower Saxony, North Rhine-Westphalia, Rhineland-Palatinate, Saarland, and Schleswig-Holstein during the 1990s, where the study population is Eligible voters living in private households with telephone and the unit of analysis is Individual?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets hosted by GESIS. Only include GESIS-hosted landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find GESIS datasets about Social behaviour and attitudes, Crime and law enforcement, International politics and organisations, Conflict, security and peace, Political behaviour and attitudes, Government, political systems and organisations, Elections, Economic conditions and indicators, Economic policy, public expenditure and revenue, and Economic systems and development in Berlin, Baden-Württemberg, Bavaria, Bremen, Hesse, Hamburg, Lower Saxony, North Rhine-Westphalia, Rhineland-Palatinate, Saarland, and Schleswig-Holstein during the 1990s, where the study population is Eligible voters living in private households with telephone and the unit of analysis is Individual?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";V4_TOPIC_COUNTRY_TIME_UNIVERSE_ANALYSIS_UNIT_ALL_TOPICS;"[""Social behaviour and attitudes"", ""Crime and law enforcement"", ""International politics and organisations"", ""Conflict, security and peace"", ""Political behaviour and attitudes"", ""Government, political systems and organisations"", ""Elections"", ""Economic conditions and indicators"", ""Economic policy, public expenditure and revenue"", ""Economic systems and development""]";"[""Berlin"", ""Baden-Württemberg"", ""Bavaria"", ""Bremen"", ""Hesse"", ""Hamburg"", ""Lower Saxony"", ""North Rhine-Westphalia"", ""Rhineland-Palatinate"", ""Saarland"", ""Schleswig-Holstein""]";"[""1994"", ""1994""]";1990s;"[""Eligible voters living in private households with telephone""]";"[""Individual""]";ZA2546;Election Study 1994: Politbarometer West 1994 (Trend Investigations);"[""10.4232/1.2546""]";https://dbk.gesis.org/dbksearch/SDESC2.asp?no=2546&db=D;48
