query_variant;mode;model;response_status;count
V4_TOPIC_COUNTRY_TIME_UNIVERSE_ANALYSIS_UNIT_ALL_TOPICS;NO_WEB;gemma3:27b;items;21
V4_TOPIC_COUNTRY_TIME_UNIVERSE_ANALYSIS_UNIT_ALL_TOPICS;NO_WEB;gpt-4.1;items;20
V4_TOPIC_COUNTRY_TIME_UNIVERSE_ANALYSIS_UNIT_ALL_TOPICS;NO_WEB;llama4:latest;items;20
V4_TOPIC_COUNTRY_TIME_UNIVERSE_ANALYSIS_UNIT_ALL_TOPICS;NO_WEB;o4-mini;zero_items;6
V4_TOPIC_COUNTRY_TIME_UNIVERSE_ANALYSIS_UNIT_ALL_TOPICS;NO_WEB;gpt-5;zero_items;15
V4_TOPIC_COUNTRY_TIME_UNIVERSE_ANALYSIS_UNIT_ALL_TOPICS;NO_WEB;gpt-5-mini;zero_items;19
V4_TOPIC_COUNTRY_TIME_UNIVERSE_ANALYSIS_UNIT_ALL_TOPICS;NO_WEB;gpt-5.1;items;13
V4_TOPIC_COUNTRY_TIME_UNIVERSE_ANALYSIS_UNIT_ALL_TOPICS;NO_WEB;gpt-oss:latest;tool_calls_only;6
V4_TOPIC_COUNTRY_TIME_UNIVERSE_ANALYSIS_UNIT_ALL_TOPICS;WEB_SEARCH;gemma3:27b;items;21
V4_TOPIC_COUNTRY_TIME_UNIVERSE_ANALYSIS_UNIT_ALL_TOPICS;WEB_SEARCH;gpt-4.1;items;21
V4_TOPIC_COUNTRY_TIME_UNIVERSE_ANALYSIS_UNIT_ALL_TOPICS;WEB_SEARCH;llama4:latest;items;19
V4_TOPIC_COUNTRY_TIME_UNIVERSE_ANALYSIS_UNIT_ALL_TOPICS;WEB_SEARCH;o4-mini;zero_items;8
V4_TOPIC_COUNTRY_TIME_UNIVERSE_ANALYSIS_UNIT_ALL_TOPICS;WEB_SEARCH;gpt-5;zero_items;19
V4_TOPIC_COUNTRY_TIME_UNIVERSE_ANALYSIS_UNIT_ALL_TOPICS;WEB_SEARCH;gpt-5-mini;items;14
V4_TOPIC_COUNTRY_TIME_UNIVERSE_ANALYSIS_UNIT_ALL_TOPICS;WEB_SEARCH;gpt-5.1;items;21
V4_TOPIC_COUNTRY_TIME_UNIVERSE_ANALYSIS_UNIT_ALL_TOPICS;NO_WEB;gpt-4.1;zero_items;1
V4_TOPIC_COUNTRY_TIME_UNIVERSE_ANALYSIS_UNIT_ALL_TOPICS;NO_WEB;gpt-oss:latest;zero_items;3
V4_TOPIC_COUNTRY_TIME_UNIVERSE_ANALYSIS_UNIT_ALL_TOPICS;WEB_SEARCH;llama4:latest;zero_items;2
V4_TOPIC_COUNTRY_TIME_UNIVERSE_ANALYSIS_UNIT_ALL_TOPICS;NO_WEB;o4-mini;items;15
V4_TOPIC_COUNTRY_TIME_UNIVERSE_ANALYSIS_UNIT_ALL_TOPICS;NO_WEB;gpt-5;items;6
V4_TOPIC_COUNTRY_TIME_UNIVERSE_ANALYSIS_UNIT_ALL_TOPICS;NO_WEB;gpt-5.1;zero_items;8
V4_TOPIC_COUNTRY_TIME_UNIVERSE_ANALYSIS_UNIT_ALL_TOPICS;NO_WEB;gpt-oss:latest;items;12
V4_TOPIC_COUNTRY_TIME_UNIVERSE_ANALYSIS_UNIT_ALL_TOPICS;WEB_SEARCH;o4-mini;items;13
V4_TOPIC_COUNTRY_TIME_UNIVERSE_ANALYSIS_UNIT_ALL_TOPICS;WEB_SEARCH;gpt-5;items;2
V4_TOPIC_COUNTRY_TIME_UNIVERSE_ANALYSIS_UNIT_ALL_TOPICS;WEB_SEARCH;gpt-5-mini;zero_items;7
V4_TOPIC_COUNTRY_TIME_UNIVERSE_ANALYSIS_UNIT_ALL_TOPICS;NO_WEB;gpt-5-mini;items;2
V4_TOPIC_COUNTRY_TIME_UNIVERSE_ANALYSIS_UNIT_ALL_TOPICS;NO_WEB;llama4:latest;zero_items;1
