query_variant;mode;model;requests;responses_with_items;coverage_rate;hit_at_k_all_queries;mrr_all_queries;ndcg_at_k_all_queries;recall_at_k_all_queries;precision_at_k_all_queries;exact_hit_at_k_all_queries;fuzzy_hit_at_k_all_queries
V4_TOPIC_COUNTRY_TIME_UNIVERSE_ANALYSIS_UNIT_ALL_TOPICS;NO_WEB;gemma3:27b;21;21;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
V4_TOPIC_COUNTRY_TIME_UNIVERSE_ANALYSIS_UNIT_ALL_TOPICS;NO_WEB;gpt-4.1;21;20;0.9523809523809523;0.0;0.0;0.0;0.0;0.0;0.0;0.0
V4_TOPIC_COUNTRY_TIME_UNIVERSE_ANALYSIS_UNIT_ALL_TOPICS;NO_WEB;llama4:latest;21;20;0.9523809523809523;0.0;0.0;0.0;0.0;0.0;0.0;0.0
V4_TOPIC_COUNTRY_TIME_UNIVERSE_ANALYSIS_UNIT_ALL_TOPICS;NO_WEB;o4-mini;21;15;0.7142857142857143;0.0;0.0;0.0;0.0;0.0;0.0;0.0
V4_TOPIC_COUNTRY_TIME_UNIVERSE_ANALYSIS_UNIT_ALL_TOPICS;NO_WEB;gpt-5;21;6;0.2857142857142857;0.0;0.0;0.0;0.0;0.0;0.0;0.0
V4_TOPIC_COUNTRY_TIME_UNIVERSE_ANALYSIS_UNIT_ALL_TOPICS;NO_WEB;gpt-5-mini;21;2;0.09523809523809523;0.0;0.0;0.0;0.0;0.0;0.0;0.0
V4_TOPIC_COUNTRY_TIME_UNIVERSE_ANALYSIS_UNIT_ALL_TOPICS;NO_WEB;gpt-5.1;21;13;0.6190476190476191;0.047619047619047616;0.047619047619047616;0.047619047619047616;0.047619047619047616;0.004761904761904762;0.047619047619047616;0.0
V4_TOPIC_COUNTRY_TIME_UNIVERSE_ANALYSIS_UNIT_ALL_TOPICS;NO_WEB;gpt-oss:latest;21;12;0.5714285714285714;0.0;0.0;0.0;0.0;0.0;0.0;0.0
V4_TOPIC_COUNTRY_TIME_UNIVERSE_ANALYSIS_UNIT_ALL_TOPICS;WEB_SEARCH;gemma3:27b;21;21;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
V4_TOPIC_COUNTRY_TIME_UNIVERSE_ANALYSIS_UNIT_ALL_TOPICS;WEB_SEARCH;gpt-4.1;21;21;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
V4_TOPIC_COUNTRY_TIME_UNIVERSE_ANALYSIS_UNIT_ALL_TOPICS;WEB_SEARCH;llama4:latest;21;19;0.9047619047619048;0.047619047619047616;0.015873015873015872;0.023809523809523808;0.047619047619047616;0.004761904761904762;0.0;0.047619047619047616
V4_TOPIC_COUNTRY_TIME_UNIVERSE_ANALYSIS_UNIT_ALL_TOPICS;WEB_SEARCH;o4-mini;21;13;0.6190476190476191;0.047619047619047616;0.015873015873015872;0.023809523809523808;0.047619047619047616;0.004761904761904762;0.0;0.047619047619047616
V4_TOPIC_COUNTRY_TIME_UNIVERSE_ANALYSIS_UNIT_ALL_TOPICS;WEB_SEARCH;gpt-5;21;2;0.09523809523809523;0.0;0.0;0.0;0.0;0.0;0.0;0.0
V4_TOPIC_COUNTRY_TIME_UNIVERSE_ANALYSIS_UNIT_ALL_TOPICS;WEB_SEARCH;gpt-5-mini;21;14;0.6666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0
V4_TOPIC_COUNTRY_TIME_UNIVERSE_ANALYSIS_UNIT_ALL_TOPICS;WEB_SEARCH;gpt-5.1;21;21;1.0;0.047619047619047616;0.023809523809523808;0.030044273979593215;0.047619047619047616;0.004761904761904762;0.0;0.047619047619047616
