query_id;query_text;full_prompt_no_web;full_prompt_web_search;query_variant;query_topics;query_countries;query_time_collection_years;query_time_display;query_universe;query_analysis_units;source_dataset_id;source_title;source_doi;source_portal_url;source_row
1;Can you find GESIS datasets about Compulsory and pre-school education and Children in Hesse during the 1960s, where the study population is School beginners and their mothers in two schools in downtown Giessen.?;"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets hosted by GESIS. Do not invent links; if unsure, omit the item.

USER: Query: Can you find GESIS datasets about Compulsory and pre-school education and Children in Hesse during the 1960s, where the study population is School beginners and their mothers in two schools in downtown Giessen.?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets hosted by GESIS. Only include GESIS-hosted landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find GESIS datasets about Compulsory and pre-school education and Children in Hesse during the 1960s, where the study population is School beginners and their mothers in two schools in downtown Giessen.?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";V5_TOPIC_COUNTRY_TIME_UNIVERSE_ALL_TOPICS;"[""Compulsory and pre-school education"", ""Children""]";"[""Hesse""]";"[""1969"", ""1969""]";1960s;"[""School beginners and their mothers in two schools in downtown Giessen.""]";;ZA0529;Political Socialization in Pre-School Age;"[""10.4232/1.0529""]";https://dbk.gesis.org/dbksearch/SDESC2.asp?no=0529&db=D;3
2;Can you find GESIS datasets about Social conditions and indicators, Political behaviour and attitudes, Youth, and Economic systems and development in Berlin during the 1950s, where the study population is Young GDR refugees 14 - 24 years old.?;"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets hosted by GESIS. Do not invent links; if unsure, omit the item.

USER: Query: Can you find GESIS datasets about Social conditions and indicators, Political behaviour and attitudes, Youth, and Economic systems and development in Berlin during the 1950s, where the study population is Young GDR refugees 14 - 24 years old.?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets hosted by GESIS. Only include GESIS-hosted landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find GESIS datasets about Social conditions and indicators, Political behaviour and attitudes, Youth, and Economic systems and development in Berlin during the 1950s, where the study population is Young GDR refugees 14 - 24 years old.?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";V5_TOPIC_COUNTRY_TIME_UNIVERSE_ALL_TOPICS;"[""Social conditions and indicators"", ""Political behaviour and attitudes"", ""Youth"", ""Economic systems and development""]";"[""Berlin""]";"[""1955"", ""1955""]";1950s;"[""Young GDR refugees 14 - 24 years old.""]";;ZA0590;Political Situation in West Berlin (Young People from the GDR);"[""10.4232/1.0590""]";https://dbk.gesis.org/dbksearch/SDESC2.asp?no=0590&db=D;6
3;Can you find GESIS datasets about Media, POLITICS, Political behaviour and attitudes, and Government, political systems and organisations in Germany during the 2010s, where the study population is Persons aged 18 years and older in private households?;"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets hosted by GESIS. Do not invent links; if unsure, omit the item.

USER: Query: Can you find GESIS datasets about Media, POLITICS, Political behaviour and attitudes, and Government, political systems and organisations in Germany during the 2010s, where the study population is Persons aged 18 years and older in private households?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets hosted by GESIS. Only include GESIS-hosted landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find GESIS datasets about Media, POLITICS, Political behaviour and attitudes, and Government, political systems and organisations in Germany during the 2010s, where the study population is Persons aged 18 years and older in private households?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";V5_TOPIC_COUNTRY_TIME_UNIVERSE_ALL_TOPICS;"[""Media"", ""POLITICS"", ""Political behaviour and attitudes"", ""Government, political systems and organisations""]";"[""Germany""]";"[""2016"", ""2016""]";2010s;"[""Persons aged 18 years and older in private households""]";;ZA6621;General Public´s Trust in Politics;"[""10.4232/1.12710""]";https://dbk.gesis.org/dbksearch/SDESC2.asp?no=6621&db=D;7
4;Can you find GESIS datasets about Media in German Democratic Republic (1949-1990) during the 1980s, where the study population is Resident population of the GDR (TV registered participants)?;"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets hosted by GESIS. Do not invent links; if unsure, omit the item.

USER: Query: Can you find GESIS datasets about Media in German Democratic Republic (1949-1990) during the 1980s, where the study population is Resident population of the GDR (TV registered participants)?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets hosted by GESIS. Only include GESIS-hosted landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find GESIS datasets about Media in German Democratic Republic (1949-1990) during the 1980s, where the study population is Resident population of the GDR (TV registered participants)?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";V5_TOPIC_COUNTRY_TIME_UNIVERSE_ALL_TOPICS;"[""Media""]";"[""German Democratic Republic (1949-1990)""]";"[""1988"", ""1988""]";1980s;"[""Resident population of the GDR (TV registered participants)""]";;ZA7315;Sofortresonanzen DDR Fernsehen 5. Woche 1988 (SFR 5/88);"[""10.4232/1.10556""]";https://dbk.gesis.org/dbksearch/SDESC2.asp?no=7315&db=D;8
5;Can you find GESIS datasets about Working conditions and Occupational health in Belgium, Denmark, Germany, Greece, Spain, Finland, France, Ireland, Italy, Luxembourg, Netherlands, Austria, Portugal, Sweden, United Kingdom, Bulgaria, Cyprus, Czech Republic, Estonia, Hungary, Latvia, Lithuania, Malta, Poland, Romania, Slovakia, Slovenia, Turkey, Croatia, Switzerland, Norway, Albania, Iceland, Montenegro, North Macedonia, and Serbia during the 2010s, where the study population is Companies with five or more employees from both private and public organisations of all sectors of activity (including agriculture, forestry and fisheries (NACE A) in 36 European countries (EU Member States (EU28) plus Albania, Iceland, Macedonia (FYROM), Montenegro, Norway, Serbia, Switzerland and Turkey). Within each establishment the person who knows best about health and safety in the establishment was interviewed.?;"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets hosted by GESIS. Do not invent links; if unsure, omit the item.

USER: Query: Can you find GESIS datasets about Working conditions and Occupational health in Belgium, Denmark, Germany, Greece, Spain, Finland, France, Ireland, Italy, Luxembourg, Netherlands, Austria, Portugal, Sweden, United Kingdom, Bulgaria, Cyprus, Czech Republic, Estonia, Hungary, Latvia, Lithuania, Malta, Poland, Romania, Slovakia, Slovenia, Turkey, Croatia, Switzerland, Norway, Albania, Iceland, Montenegro, North Macedonia, and Serbia during the 2010s, where the study population is Companies with five or more employees from both private and public organisations of all sectors of activity (including agriculture, forestry and fisheries (NACE A) in 36 European countries (EU Member States (EU28) plus Albania, Iceland, Macedonia (FYROM), Montenegro, Norway, Serbia, Switzerland and Turkey). Within each establishment the person who knows best about health and safety in the establishment was interviewed.?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets hosted by GESIS. Only include GESIS-hosted landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find GESIS datasets about Working conditions and Occupational health in Belgium, Denmark, Germany, Greece, Spain, Finland, France, Ireland, Italy, Luxembourg, Netherlands, Austria, Portugal, Sweden, United Kingdom, Bulgaria, Cyprus, Czech Republic, Estonia, Hungary, Latvia, Lithuania, Malta, Poland, Romania, Slovakia, Slovenia, Turkey, Croatia, Switzerland, Norway, Albania, Iceland, Montenegro, North Macedonia, and Serbia during the 2010s, where the study population is Companies with five or more employees from both private and public organisations of all sectors of activity (including agriculture, forestry and fisheries (NACE A) in 36 European countries (EU Member States (EU28) plus Albania, Iceland, Macedonia (FYROM), Montenegro, Norway, Serbia, Switzerland and Turkey). Within each establishment the person who knows best about health and safety in the establishment was interviewed.?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";V5_TOPIC_COUNTRY_TIME_UNIVERSE_ALL_TOPICS;"[""Working conditions"", ""Occupational health""]";"[""Belgium"", ""Denmark"", ""Germany"", ""Greece"", ""Spain"", ""Finland"", ""France"", ""Ireland"", ""Italy"", ""Luxembourg"", ""Netherlands"", ""Austria"", ""Portugal"", ""Sweden"", ""United Kingdom"", ""Bulgaria"", ""Cyprus"", ""Czech Republic"", ""Estonia"", ""Hungary"", ""Latvia"", ""Lithuania"", ""Malta"", ""Poland"", ""Romania"", ""Slovakia"", ""Slovenia"", ""Turkey"", ""Croatia"", ""Switzerland"", ""Norway"", ""Albania"", ""Iceland"", ""Montenegro"", ""North Macedonia"", ""Serbia""]";"[""2014"", ""2014""]";2010s;"[""Companies with five or more employees from both private and public organisations of all sectors of activity (including agriculture, forestry and fisheries (NACE A) in 36 European countries (EU Member States (EU28) plus Albania, Iceland, Macedonia (FYROM), Montenegro, Norway, Serbia, Switzerland and Turkey). Within each establishment the person who knows best about health and safety in the establishment was interviewed.""]";;ZA6865;Second European Survey of Enterprises on New and Emerging Risks 2014 (ESENER-2);"[""10.4232/1.12965""]";https://dbk.gesis.org/dbksearch/SDESC2.asp?no=6865&db=D;9
6;Can you find GESIS datasets about Reproductive health in Germany during the 1970s, where the study population is Persons 16 - 50 years old?;"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets hosted by GESIS. Do not invent links; if unsure, omit the item.

USER: Query: Can you find GESIS datasets about Reproductive health in Germany during the 1970s, where the study population is Persons 16 - 50 years old?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets hosted by GESIS. Only include GESIS-hosted landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find GESIS datasets about Reproductive health in Germany during the 1970s, where the study population is Persons 16 - 50 years old?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";V5_TOPIC_COUNTRY_TIME_UNIVERSE_ALL_TOPICS;"[""Reproductive health""]";"[""Germany""]";"[""1972"", ""1972""]";1970s;"[""Persons 16 - 50 years old""]";;ZA0682;Family Planning as Health Task;"[""10.4232/1.12464"", ""10.4232/1.0682""]";https://dbk.gesis.org/dbksearch/SDESC2.asp?no=0682&db=D;10
7;Can you find GESIS datasets about Employment, Leisure, tourism and sport, Reproductive health, Specific diseases, disorders and medical conditions, Family life and marriage, and Gender and gender roles in German Democratic Republic (1949-1990) during the 1980s, where the study population is In der gynäkologischen Poliklinik der Frauenklinik der Charité wurden nach Quoten sekundär und primär sterile Frauen im fertilen Alter ausgewählt, die seit mindestens einem Jahr in einer Partnerschaft leben und nicht an lebensbedrohlichen Krankheiten leiden.?;"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets hosted by GESIS. Do not invent links; if unsure, omit the item.

USER: Query: Can you find GESIS datasets about Employment, Leisure, tourism and sport, Reproductive health, Specific diseases, disorders and medical conditions, Family life and marriage, and Gender and gender roles in German Democratic Republic (1949-1990) during the 1980s, where the study population is In der gynäkologischen Poliklinik der Frauenklinik der Charité wurden nach Quoten sekundär und primär sterile Frauen im fertilen Alter ausgewählt, die seit mindestens einem Jahr in einer Partnerschaft leben und nicht an lebensbedrohlichen Krankheiten leiden.?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets hosted by GESIS. Only include GESIS-hosted landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find GESIS datasets about Employment, Leisure, tourism and sport, Reproductive health, Specific diseases, disorders and medical conditions, Family life and marriage, and Gender and gender roles in German Democratic Republic (1949-1990) during the 1980s, where the study population is In der gynäkologischen Poliklinik der Frauenklinik der Charité wurden nach Quoten sekundär und primär sterile Frauen im fertilen Alter ausgewählt, die seit mindestens einem Jahr in einer Partnerschaft leben und nicht an lebensbedrohlichen Krankheiten leiden.?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";V5_TOPIC_COUNTRY_TIME_UNIVERSE_ALL_TOPICS;"[""Employment"", ""Leisure, tourism and sport"", ""Reproductive health"", ""Specific diseases, disorders and medical conditions"", ""Family life and marriage"", ""Gender and gender roles""]";"[""German Democratic Republic (1949-1990)""]";"[""1988"", ""1989""]";1980s;"[""In der gynäkologischen Poliklinik der Frauenklinik der Charité wurden nach Quoten sekundär und primär sterile Frauen im fertilen Alter ausgewählt, die seit mindestens einem Jahr in einer Partnerschaft leben und nicht an lebensbedrohlichen Krankheiten leiden.""]";;ZA6370;Partnership Conflicts and Psychosomatic Gynecological Illnesses 1988/89 (Additional Survey: Sterile Women);"[""10.4232/1.6370""]";https://dbk.gesis.org/dbksearch/SDESC2.asp?no=6370&db=D;11
8;Can you find GESIS datasets about Reproductive health, Specific diseases, disorders and medical conditions, and Family life and marriage in Germany during the 1980s, where the study population is Persons between the ages of 16 - 59 years?;"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets hosted by GESIS. Do not invent links; if unsure, omit the item.

USER: Query: Can you find GESIS datasets about Reproductive health, Specific diseases, disorders and medical conditions, and Family life and marriage in Germany during the 1980s, where the study population is Persons between the ages of 16 - 59 years?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets hosted by GESIS. Only include GESIS-hosted landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find GESIS datasets about Reproductive health, Specific diseases, disorders and medical conditions, and Family life and marriage in Germany during the 1980s, where the study population is Persons between the ages of 16 - 59 years?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";V5_TOPIC_COUNTRY_TIME_UNIVERSE_ALL_TOPICS;"[""Reproductive health"", ""Specific diseases, disorders and medical conditions"", ""Family life and marriage""]";"[""Germany""]";"[""1989"", ""1989""]";1980s;"[""Persons between the ages of 16 - 59 years""]";;ZA2235;Sexual Conduct of Men and Women in the Federal Republic of Germany 1989;"[""10.4232/1.2235""]";https://dbk.gesis.org/dbksearch/SDESC2.asp?no=2235&db=D;12
9;Can you find GESIS datasets about Leisure, tourism and sport, Social behaviour and attitudes, Media, TRANSPORT AND TRAVEL, Consumption and consumer behaviour, Economic systems and development, and Economic conditions and indicators in Finland during the 1960s, where the study population is Persons 18 years old and older, who live in private households?;"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets hosted by GESIS. Do not invent links; if unsure, omit the item.

USER: Query: Can you find GESIS datasets about Leisure, tourism and sport, Social behaviour and attitudes, Media, TRANSPORT AND TRAVEL, Consumption and consumer behaviour, Economic systems and development, and Economic conditions and indicators in Finland during the 1960s, where the study population is Persons 18 years old and older, who live in private households?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets hosted by GESIS. Only include GESIS-hosted landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find GESIS datasets about Leisure, tourism and sport, Social behaviour and attitudes, Media, TRANSPORT AND TRAVEL, Consumption and consumer behaviour, Economic systems and development, and Economic conditions and indicators in Finland during the 1960s, where the study population is Persons 18 years old and older, who live in private households?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";V5_TOPIC_COUNTRY_TIME_UNIVERSE_ALL_TOPICS;"[""Leisure, tourism and sport"", ""Social behaviour and attitudes"", ""Media"", ""TRANSPORT AND TRAVEL"", ""Consumption and consumer behaviour"", ""Economic systems and development"", ""Economic conditions and indicators""]";"[""Finland""]";"[""1969"", ""1969""]";1960s;"[""Persons 18 years old and older, who live in private households""]";;ZA1296;A Survey of Europe Today (Finland);"[""10.4232/1.1296""]";https://dbk.gesis.org/dbksearch/SDESC2.asp?no=1296&db=D;14
10;Can you find GESIS datasets about Employment and Higher and further education in Bavaria during the 1970s, where the study population is Sample of graduates of the University and the Technical College in Munich, who completed their studies in 1972.?;"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets hosted by GESIS. Do not invent links; if unsure, omit the item.

USER: Query: Can you find GESIS datasets about Employment and Higher and further education in Bavaria during the 1970s, where the study population is Sample of graduates of the University and the Technical College in Munich, who completed their studies in 1972.?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets hosted by GESIS. Only include GESIS-hosted landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find GESIS datasets about Employment and Higher and further education in Bavaria during the 1970s, where the study population is Sample of graduates of the University and the Technical College in Munich, who completed their studies in 1972.?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";V5_TOPIC_COUNTRY_TIME_UNIVERSE_ALL_TOPICS;"[""Employment"", ""Higher and further education""]";"[""Bavaria""]";"[""1975"", ""1975""]";1970s;"[""Sample of graduates of the University and the Technical College in Munich, who completed their studies in 1972.""]";;ZA1458;College Education and Profession;"[""10.4232/1.1458""]";https://dbk.gesis.org/dbksearch/SDESC2.asp?no=1458&db=D;15
