query_variant;mode;model;response_status;count
V5_TOPIC_COUNTRY_TIME_UNIVERSE_ALL_TOPICS;NO_WEB;gemma3:27b;items;73
V5_TOPIC_COUNTRY_TIME_UNIVERSE_ALL_TOPICS;NO_WEB;gpt-4.1;items;71
V5_TOPIC_COUNTRY_TIME_UNIVERSE_ALL_TOPICS;NO_WEB;llama4:latest;items;56
V5_TOPIC_COUNTRY_TIME_UNIVERSE_ALL_TOPICS;NO_WEB;o4-mini;zero_items;40
V5_TOPIC_COUNTRY_TIME_UNIVERSE_ALL_TOPICS;NO_WEB;gpt-5;zero_items;65
V5_TOPIC_COUNTRY_TIME_UNIVERSE_ALL_TOPICS;NO_WEB;gpt-5-mini;zero_items;71
V5_TOPIC_COUNTRY_TIME_UNIVERSE_ALL_TOPICS;NO_WEB;gpt-5.1;zero_items;48
V5_TOPIC_COUNTRY_TIME_UNIVERSE_ALL_TOPICS;NO_WEB;gpt-oss:latest;tool_calls_only;17
V5_TOPIC_COUNTRY_TIME_UNIVERSE_ALL_TOPICS;WEB_SEARCH;gemma3:27b;items;73
V5_TOPIC_COUNTRY_TIME_UNIVERSE_ALL_TOPICS;WEB_SEARCH;gpt-4.1;items;73
V5_TOPIC_COUNTRY_TIME_UNIVERSE_ALL_TOPICS;WEB_SEARCH;llama4:latest;items;62
V5_TOPIC_COUNTRY_TIME_UNIVERSE_ALL_TOPICS;WEB_SEARCH;o4-mini;zero_items;34
V5_TOPIC_COUNTRY_TIME_UNIVERSE_ALL_TOPICS;WEB_SEARCH;gpt-5;zero_items;68
V5_TOPIC_COUNTRY_TIME_UNIVERSE_ALL_TOPICS;WEB_SEARCH;gpt-5-mini;items;51
V5_TOPIC_COUNTRY_TIME_UNIVERSE_ALL_TOPICS;WEB_SEARCH;gpt-5.1;items;62
V5_TOPIC_COUNTRY_TIME_UNIVERSE_ALL_TOPICS;NO_WEB;gpt-5.1;items;25
V5_TOPIC_COUNTRY_TIME_UNIVERSE_ALL_TOPICS;NO_WEB;gpt-oss:latest;zero_items;28
V5_TOPIC_COUNTRY_TIME_UNIVERSE_ALL_TOPICS;NO_WEB;o4-mini;items;33
V5_TOPIC_COUNTRY_TIME_UNIVERSE_ALL_TOPICS;WEB_SEARCH;o4-mini;items;39
V5_TOPIC_COUNTRY_TIME_UNIVERSE_ALL_TOPICS;NO_WEB;gpt-5;items;8
V5_TOPIC_COUNTRY_TIME_UNIVERSE_ALL_TOPICS;NO_WEB;gpt-oss:latest;items;28
V5_TOPIC_COUNTRY_TIME_UNIVERSE_ALL_TOPICS;NO_WEB;llama4:latest;zero_items;17
V5_TOPIC_COUNTRY_TIME_UNIVERSE_ALL_TOPICS;WEB_SEARCH;gpt-5-mini;zero_items;22
V5_TOPIC_COUNTRY_TIME_UNIVERSE_ALL_TOPICS;WEB_SEARCH;gpt-5.1;zero_items;10
V5_TOPIC_COUNTRY_TIME_UNIVERSE_ALL_TOPICS;WEB_SEARCH;llama4:latest;zero_items;11
V5_TOPIC_COUNTRY_TIME_UNIVERSE_ALL_TOPICS;NO_WEB;gpt-4.1;zero_items;2
V5_TOPIC_COUNTRY_TIME_UNIVERSE_ALL_TOPICS;WEB_SEARCH;gpt-5.1;tool_calls_only;1
V5_TOPIC_COUNTRY_TIME_UNIVERSE_ALL_TOPICS;WEB_SEARCH;gpt-5;items;5
V5_TOPIC_COUNTRY_TIME_UNIVERSE_ALL_TOPICS;NO_WEB;gpt-5-mini;items;2
